publicado,puesto,empresa,ubicacion,modalidad,url,busqueda
Publicado ayer,Analista de Datos,FRACTAL SOLUCIONES IT,"Lima, Lima",Híbrido,https://www.bumeran.com.pe/empleos/analista-de-datos-fractal-soluciones-it-1118447809.html,analista de datos
Publicado hace 5 días,Analista de Datos,Confidencial,"Cercado De Lima, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-1118440330.html,analista de datos
Publicado ayer,430 Analista de Datos,INFORMATICA DELTA S.A.C.,"Lima, Lima",Híbrido,https://www.bumeran.com.pe/empleos/430-analista-de-datos-informatica-delta-s.a.c.-1118448331.html,analista de datos
Publicado ayer,Analista de Explotación de Datos,Hitss Perú,"La Victoria, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-explotacion-de-datos-hitss-peru-1118447643.html,analista de datos
Actualizado hace 2 días,Analista de Datos,IBT GROUP,"San Isidro, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-ibt-group-1118432292.html,analista de datos
Actualizado ayer,Analista de datos junior,Inetum Perú,"San Isidro, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-junior-inetum-peru-1118442441.html,analista de datos
Publicado hace más de 15 días,Analista de Datos,IBT GROUP,"Callao, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-ibt-group-1118425837.html,analista de datos
Publicado ayer,Analista de Gestión de Datos Maestros,CL SELECTION/DIVISION IT,"Lima, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-gestion-de-datos-maestros-cl-selection-division-it-1118447276.html,analista de datos
Actualizado ayer,Analista de Datos Junior. (Hibrido),CSTI Corp,"Miraflores, Lima",Híbrido,https://www.bumeran.com.pe/empleos/analista-de-datos-junior.-hibrido-csti-corp-1118446068.html,analista de datos
Actualizado ayer,Analista de Datos Jr. (hibrido),CSTI Corp,"Miraflores, Lima",Híbrido,https://www.bumeran.com.pe/empleos/analista-de-datos-jr.-hibrido-csti-corp-1118446024.html,analista de datos
Actualizado ayer,Analista de Datos Comerciales bi,Peru Productos Agricolas,"Carabayllo, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-comerciales-bi-peru-productos-agricolas-1118445349.html,analista de datos
Publicado hace 3 días,Analista de Datos BI - Hibrido,UNIVERSIDAD TECNOLOGICA DEL PERU,"Cercado De Lima, Lima",Híbrido,https://www.bumeran.com.pe/empleos/analista-de-datos-bi-hibrido-universidad-tecnologica-del-peru-1118444813.html,analista de datos
Actualizado ayer,Analista de Datos Jr. (hibrido),CSTI Corp,"Miraflores, Lima",Híbrido,https://www.bumeran.com.pe/empleos/analista-de-datos-jr.-hibrido-csti-corp-1118444560.html,analista de datos
Actualizado hace 12 días,Analista de Datos,TRUPAL S.A.,"El Agustino, Lima",Híbrido,https://www.bumeran.com.pe/empleos/analista-de-datos-trupal-s.a.-1118425265.html,analista de datos
Publicado hace 5 días,Analista Funcional de Datos-Banca,INDRA PERU,"San Isidro, Lima",Híbrido,https://www.bumeran.com.pe/empleos/analista-funcional-de-datos-banca-indra-peru-1118441402.html,analista de datos
Publicado ayer,Analista de Base de Datos / Contact Center,QUANTIA SOLUCIONES S.A.C.,"San Isidro, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-base-de-datos-contact-center-quantia-soluciones-s.a.c.-1118447409.html,analista de datos
Publicado hace 3 días,Analista de Inteligencia de Datos- Sede Arequipa,Caja Arequipa,"Arequipa, Arequipa",Presencial,https://www.bumeran.com.pe/empleos/analista-de-inteligencia-de-datos-sede-arequipa-caja-arequipa-1118445255.html,analista de datos
Actualizado ayer,Analista de Datos Junior,CSTI Corp,"Miraflores, Lima",Híbrido,https://www.bumeran.com.pe/empleos/analista-de-datos-junior-csti-corp-1118426629.html,analista de datos
Actualizado hace 11 días,Analista de Datos Jr.,CSTI Corp,"Miraflores, Lima",Híbrido,https://www.bumeran.com.pe/empleos/analista-de-datos-jr.-csti-corp-1118426628.html,analista de datos
Actualizado hace 5 días,Analista de Datos,COBEX,"Cerro Colorado, Arequipa",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-cobex-1118412271.html,analista de datos
Actualizado ayer,Analista de Datos / Business Intelligence,Grupo Lucky,"Miraflores, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-business-intelligence-grupo-lucky-1118432489.html,analista de datos
Publicado hace 8 días,Analista Senior de Arquitectura y Seguridad de Datos,GRUPO ELECTRODATA SAC,"Surquillo, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-senior-de-arquitectura-y-seguridad-de-datos-grupo-electrodata-sac-1118439479.html,analista de datos
Publicado hace 2 días,Analista de Datos de Talento (Data Analyst de Talento),SERVICIOS COMPARTIDOS DE RESTAURANTES S.A.C.,"Miraflores, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-de-talento-data-analyst-de-talento-servicios-compartidos-de-restaurantes-s.a.c.-1118446497.html,analista de datos
Actualizado hace 2 días,ANALISTA DE DATOS | SECTOR AUTOMOTRIZ,ADECCO PERU S.A.,"San Borja, Lima",Presencial,https://www.bumeran.com.pe/empleos/analista-de-datos-%7C-sector-automotriz-adecco-peru-s.a.-1118427797.html,analista de datos
Actualizado hace más de 15 días,Analista de Datos - Semipresencial,ManpowerGroup Perú,"San Isidro, Lima",Híbrido,https://www.bumeran.com.pe/empleos/analista-de-datos-semipresencial-manpowergroup-peru-1118419023.html,analista de datos
