Address,Latitude,Longitude
"LIMA, LIMA, CHACLACAYO, CARRETERA CARRETERA CENTRAL KILOMETRO 19.5 - COOP.VIV. MIGUEL GRAU CARRETERA CENTRAL KILOMETRO 19.5 - COOP.VIV. MIGUEL GRAU CHACLACAYO LIMA LIMA ",-11.7358059,-76.257218
"LIMA, LIMA, CHACLACAYO, AVENIDA AV.PERU LT.49 PERLA DEL SOL AV.PERU LT.49 PERLA DEL SOL CHACLACAYO LIMA LIMA ",-11.9689358,-76.7486309
"LIMA, LIMA, CHACLACAYO, MZ N LOTE 05 AAHH CERRO VECINO HUASCATA-CHACLACAYO MZ N LOTE 05 AAHH CERRO VECINO HUASCATA-CHACLACAYO CHACLACAYO LIMA LIMA ",-11.994911,-76.82087299999999
"LIMA, LIMA, CHACLACAYO, ASOC. PRO VIVIENDA VILLA RICA MZ R LT. 04 ASOC. PRO VIVIENDA VILLA RICA MZ R LT. 04 CHACLACAYO LIMA LIMA ",-11.9935825,-76.82587509999999
"LIMA, LIMA, CHACLACAYO, PASAJE ESQ.HOYOS RUBIO CON PASAJE JOSE CARLOS MARIATEGUI S/N S/N ESQ.HOYOS RUBIO CON PASAJE JOSE CARLOS MARIATEGUI S/N CHACLACAYO LIMA LIMA ",-11.9947642,-76.76827750000001
"LIMA, LIMA, SANTA ANITA, AVENIDA AV. J.C. MARIATEGUI CDRA. 5 - 2DA ETAPA - ESPALDA DE DELEGACIÓN POLICIAL AV. J.C. MARIATEGUI CDRA. 5 - 2DA ETAPA - ESPALDA DE DELEGACIÓN POLICIAL SANTA ANITA LIMA LIMA ",-12.0425639,-76.9776515
"LIMA, LIMA, SANTA ANITA, PARQUE CL VIRU S/N PARQUE 4-COOP. CHANCAS DE ANDAHUAYLAS - SANTA ANITA S/N CL VIRU S/N PARQUE 4-COOP. CHANCAS DE ANDAHUAYLAS - SANTA ANITA SANTA ANITA LIMA LIMA ",-12.035284,-76.96421629999999
"LIMA, LIMA, SANTA ANITA, AVENIDA AV. MARÍA PARADO DE BELLIDO S/N ( ALT. CDRA. 20 DE CÉSAR VALLEJO) S/N AV. MARÍA PARADO DE BELLIDO S/N ( ALT. CDRA. 20 DE CÉSAR VALLEJO) SANTA ANITA LIMA LIMA ",-12.0433031,-76.97036729999999
"LIMA, LIMA, SANTA ANITA, AVENIDA AV. LOS RUISEÑORES 873-A URB.SANTA ANITA AV. LOS RUISEÑORES 873-A URB.SANTA ANITA SANTA ANITA LIMA LIMA ",-12.0465937,-76.9689192
"LIMA, LIMA, SANTA ANITA, AVENIDA AV.METROPOLITANA MZ B LT.7B ASOC. PRO-VIV SAN CARLOS-SANTA ANITA AV.METROPOLITANA MZ B LT.7B ASOC. PRO-VIV SAN CARLOS-SANTA ANITA SANTA ANITA LIMA LIMA ",-12.0392379,-76.9586966
"LIMA, LIMA, SANTA ANITA, URBANIZACION PRODUCTORES MZ A LT 14 URBANIZACION PRODUCTORES MZ A LT 14 SANTA ANITA LIMA LIMA ",-12.0360556,-76.95194359999999
"LIMA, LIMA, SANTA ANITA, CALLE JAVIER HERAUD S/N URB. AH NOCHETO S/N CALLE JAVIER HERAUD S/N URB. AH NOCHETO SANTA ANITA LIMA LIMA ",-12.0465579,-76.9844866
"LIMA, LIMA, SANTA ANITA, CALLE LOS CACTUS MZ.W1 LT. 43 COOP. STA. ROSA DE QUIVES CALLE LOS CACTUS MZ.W1 LT. 43 COOP. STA. ROSA DE QUIVES SANTA ANITA LIMA LIMA ",-12.0538251,-76.98125639999999
"LIMA, LIMA, SANTA ANITA, CARRETERA CARRETERA CENTRAL KM 3.5 SANTA ANITA CARRETERA CENTRAL KM 3.5 SANTA ANITA SANTA ANITA LIMA LIMA ",-12.0568533,-76.97074219999999
"LIMA, LIMA, SANTA ANITA, CALLE LOS MOCHICAS S/N PARQUE LAMPA DE ORO  COOP.CHANCAS DE ANDAHUAYLAS-SANTA ANITA S/N CALLE LOS MOCHICAS S/N PARQUE LAMPA DE ORO  COOP.CHANCAS DE ANDAHUAYLAS-SANTA ANITA SANTA ANITA LIMA LIMA ",-12.0412784,-76.9689796
"LIMA, LIMA, SANTA ANITA, CARRETERA CARRETERA CENTRAL KM. 3.5 Nº 1351 DISTRITO SANTA ANITA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.05157,-76.95742039999999
"LIMA, LIMA, SANTA ANITA, AVENIDA AV. CARRETERA CENTRAL 1345, KM. 3.5 DISTRITO SANTA ANITA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.021913,-76.9077533
"LIMA, LIMA, SANTA ANITA, AVENIDA AV. J.C. MARIATEGUI CDRA. 5 - 2DA ETAPA - ESPALDA DE DELEGACIÓN POLICIAL AV. J.C. MARIATEGUI CDRA. 5 - 2DA ETAPA - ESPALDA DE DELEGACIÓN POLICIAL SANTA ANITA LIMA LIMA ",-12.0425639,-76.9776515
"LIMA, LIMA, BARRANCO, MARTÍNEZ DE PINILLOS 124 A BARRANCO LIMA LIMA ",-12.1444592,-77.02225059999999
"LIMA, LIMA, BARRANCO, AVENIDA AV. GRAU Nº198 AV. GRAU Nº198 BARRANCO LIMA LIMA ",-12.1453636,-77.02194659999999
"LIMA, LIMA, BARRANCO, AVENIDA AV. GRAU Nº198 AV. GRAU Nº198 BARRANCO LIMA LIMA ",-12.1453636,-77.02194659999999
"LIMA, LIMA, CHORRILLOS, AVENIDA AV. DEFENSORES DEL MORRO (EX HUAYLAS) Nº556 AV. DEFENSORES DEL MORRO (EX HUAYLAS) Nº556 CHORRILLOS LIMA LIMA ",-12.1693662,-77.0244343
"LIMA, LIMA, CHORRILLOS, CALLE LEOPOLDO ARIAS NRO. 200 CALLE LEOPOLDO ARIAS NRO. 200 CHORRILLOS LIMA LIMA ",-12.1660968,-77.0204961
"LIMA, LIMA, CHORRILLOS, CALLE LUCANAS MZ 1 LOTE 1 AAHH ARMATAMBO DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.1784199,-77.0222376
"LIMA, LIMA, CHORRILLOS, AVENIDA AV. BUENOS AIRES DE VILLA S/N. S/N AV. BUENOS AIRES DE VILLA S/N. CHORRILLOS LIMA LIMA ",-12.1874824,-77.0034512
