Address,Latitude,Longitude
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA moche N?ERO 603 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1196211,-79.0244179
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE FRANCISCO BOLOGNESI 646 INTERIOR A NÚMERO 646 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.106042799999999,-79.0329727
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE PEDRO UREÑA 1208 URB. LAS QUINTANAS",-8.0954587,-79.0249137
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA PERU Nº 326",-8.105904599999999,-79.0205471
"LA LIBERTAD, TRUJILLO, TRUJILLO, JR. LOS RUBIES NRO. 103 INT. 303 URB. SANTA INES",-8.1034541,-79.0366738
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA DEL EJERCITO 735 3 ENTRE CALLE MANTARO Y PASAJE CHICAMA TRUJILLO TRUJILLO LA LIBERTAD ",-8.101340600000002,-79.0206591
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE ARGENTINA 113 URB EL RECREO",-8.116831,-79.0311846
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA ROMA NÚMERO 426 URBANIZACIÓN SAN NICOLAS DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1083166,-79.03718680000001
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE REPÚBLICA DE PANAMA NÚMERO 495 URBANIZACIÓN TORRES ARAUJO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.117435799999999,-79.026974
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA VALCARCEL Nº 555 URBANIZACION PRIMAVERA",-8.0970251,-79.0332249
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE RIVADENEIRA NÚMERO 373  375 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.110780199999999,-79.03299659999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV. MANSICHE Nº 810 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.103671799999999,-79.0368008
"LA LIBERTAD, TRUJILLO, TRUJILLO, JR . AYACUCHO 262",-8.1157083,-79.0280365
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA NICOLÁS DE PIÉROLA NÚMERO 872 URBANIZACIÓN URBANIZACIÓN PRIMAVERA DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1016313,-79.03578329999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA 28 DE JULIO NÚMERO 166 PISO 2 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.104533,-79.0248143
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE HEREDIA NRO. 395 URB. SAN ANDRES",-8.1148843,-79.0354663
"LA LIBERTAD, TRUJILLO, TRUJILLO, JR. BOLÍVAR Nº 634 – OFICINA 202",-8.110969700000002,-79.0254361
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV. CALLE BLAS PASCAL 268 LA NORIA DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1042174,-79.0089785
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV. MANSICHE 795 - URB. SÁNCHEZ CARRIÓN DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.105824900000002,-79.0366076
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV. SANTA TERESITA DE JESUS S/N URB.  MONSERRATE NÚMERO S/N DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1232759,-79.03112320000001
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AMÉRICA OESTE 580 PISO 2 URBANIZACIÓN LOS CEDROS DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1007503,-79.0443439
"LA LIBERTAD, TRUJILLO, TRUJILLO, PROLONGACIÓN PROLONGACION UNION 1350 PROLONGACION UNION 1350 TRUJILLO TRUJILLO LA LIBERTAD ",-8.0993894,-79.0122574
"LA LIBERTAD, TRUJILLO, TRUJILLO, AV. MANSICHE NRO. 840 URB. SANTA INES",-8.1037125,-79.0371842
"LA LIBERTAD, TRUJILLO, TRUJILLO, JR. AYACUCHO NRO. 582 DPTO. 216",-8.1124125,-79.0252625
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE LIVERPOOL NÚMERO 365 URBANIZACIÓN SAN SALVADOR DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.103004,-79.04266199999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV. MOCHE 539 SEGUNDO PISO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1184739,-79.024641
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA MOCHE NÚMERO 475 PISO 3 DEPARTAMENTO 301 URBANIZACIÓN SANTA MARIA DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1178124,-79.02476539999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE zafiros NÚMERO 230 PISO 4 DEPARTAMENTO 408 INTERIOR 408 URBANIZACIÓN Santa Ines DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1034072,-79.03637859999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE CALLE PEDRO RIVADENEIRA N° 361 - 371. URB. HUERTA GRANDE DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1023613,-79.0265411
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AVENIDA FEDERICO VILLARREAL 301 - URB LOS GRANADOS DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.0957479,-79.0128432
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA MOCHE 543 1 101 SANTA MARIA GERENCIA REGIONAL DE TRANSPORTES Y COMUNICACIONES DE LA LIBERTAD TRUJILLO TRUJILLO LA LIBERTAD ",-8.1179014,-79.0250841
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE MARCELO CORNE NÚMERO 348 PISO 1 URBANIZACIÓN SAN ANDRES DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1174124,-79.0341648
"LA LIBERTAD, TRUJILLO, TRUJILLO, JIRÓN JR. LLOQUE YUPANQUI 250 URB. SANTA MARIA III ETAPA DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1164652,-79.02400229999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE LOS ZAFIROS NÚMERO 256 PISO 2 URBANIZACIÓN SANTA INÉS DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.103224899999999,-79.0362869
"LA LIBERTAD, TRUJILLO, TRUJILLO, JR. BOLIVAR 276 OFICINA 302",-8.114811399999999,-79.0287568
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE LOS LAURELES Nº 444 - INT. 207 - URBANIZACIÓN CALIFORNIA",-8.130108700000001,-79.0392344
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE CALLE ADOLFO HIDALGO #331. STA MARIA 5TA ETAPA DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1275678,-79.0198958
