Lat,Lon,gem
-12.1188014,-77.03670129999999,AVENIDA AV. JOSE PARDO N° 796 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.1133545,-77.028128,AVENIDA AV. ANGAMOS ESTE Nº 261 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.1089498,-77.04980619999999,AVENIDA AV. MARISCAL LA MAR 1390 URB. SANTA CRUZ NÚMERO 1390 URBANIZACIÓN SANTA CRUZ DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0720006,-77.0609284,AVENIDA AV. BOLIVAR S/N CUADRA 8 S/N AV. BOLIVAR S/N CUADRA 8 PUEBLO LIBRE LIMA LIMA 
-12.0849032,-77.0022432,JIRÓN JR DE LA HISTORIA MZ C LOTE 19 AAHH SAN JUAN MASIAS DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.1020118,-76.9934893,JIRÓN JR FRANZ SCHUBERT S/N ESQUINA CON JR BOZOVICH NÚMERO S/N DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.1067994,-77.05500889999999,AVENIDA AV. PEREZ ARANIBAR (DEL EJÉRCITO) 1756 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.1084864,-77.05352309999999,AVENIDA AV. PEREZ ARANIBAR 1551 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0814719,-77.09855209999999,AVENIDA AV LIBERTAD  AV LOS MOCHICAS S/N N?ERO S/N DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0616486,-77.0827394,LOS SAUCES MZ B-II NOVENA ETAPA LOS SAUCES MZ B-II NOVENA ETAPA SAN MIGUEL LIMA LIMA 
-12.0657149,-77.09456639999999,AVENIDA PARQUE DE LAS LEYENDAS NÚMERO 255 DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.1183057,-77.0220381,JIRÓN NARCISO DE LA COLINA 840 JR. NARCISO DE LA COLINA 840 SURQUILLO LIMA LIMA 
-12.1239516,-77.0007231,AVENIDA AV SAUCE MZ A1 LOTE 1 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.1088569,-77.0120429,"AVENIDA AV. MARTIN LUTHER KING S/N°, URB. VILLA VICTORIA S/N AV. MARTIN LUTHER KING S/N°, URB. VILLA VICTORIA SURQUILLO LIMA LIMA "
-12.1044279,-77.021338,AVENIDA AV LOS HALCONES 414 URB LIMATAMBO DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0777608,-77.0533657,AV. ARNALDO MÁRQUEZ 1750
-12.0777608,-77.0533657,AV. ARNALDO MÁRQUEZ 1750
-12.0911891,-77.0284586,AVENIDA AV. JAVIER PRADO ESTE 499 URB. JARDIN LIMA- SAN ISIDRO AV. JAVIER PRADO ESTE 499 URB. JARDIN LIMA- SAN ISIDRO SAN ISIDRO LIMA LIMA 
-12.072985,-77.05918969999999,AVENIDA AV. PASO DE LOS ANDES 675 DISTRITO PUEBLO LIBRE PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.025982,-76.9193456,CARRETERA LAS RETAMAS 300 - CARRETERA CENTRAL KM. 23 LAS RETAMAS 300 - CARRETERA CENTRAL KM. 23 CHACLACAYO LIMA LIMA 
-11.9290499,-77.1002638,"CT.7, LOTE 19-20 C. CENTRAL KM. 22.7 AAHH VIRGEN DE FATIMA CT.7, LOTE 19-20 C. CENTRAL KM. 22.7 AAHH VIRGEN DE FATIMA CHACLACAYO LIMA LIMA "
-11.9947642,-76.76827750000001,AVENIDA AV.ATAHUALPA Nº 373-CULTURA Y PROGRESO ÑAÑA-CHACLACAYO AV.ATAHUALPA Nº 373-CULTURA Y PROGRESO ÑAÑA-CHACLACAYO CHACLACAYO LIMA LIMA 
-12.0138413,-76.8828724,CARRETERA CARRETERA CENTRAL KILOMETRO 19.5 - COOP.VIV. MIGUEL GRAU CARRETERA CENTRAL KILOMETRO 19.5 - COOP.VIV. MIGUEL GRAU CHACLACAYO LIMA LIMA 
-12.0314981,-77.07971599999999,AVENIDA AV.PERU LT.49 PERLA DEL SOL AV.PERU LT.49 PERLA DEL SOL CHACLACAYO LIMA LIMA 
-12.1846337,-76.9607279,MZ N LOTE 05 AAHH CERRO VECINO HUASCATA-CHACLACAYO MZ N LOTE 05 AAHH CERRO VECINO HUASCATA-CHACLACAYO CHACLACAYO LIMA LIMA 
-10.7394842,-75.2741089,ASOC. PRO VIVIENDA VILLA RICA MZ R LT. 04 ASOC. PRO VIVIENDA VILLA RICA MZ R LT. 04 CHACLACAYO LIMA LIMA 
-11.9947642,-76.76827750000001,PASAJE ESQ.HOYOS RUBIO CON PASAJE JOSE CARLOS MARIATEGUI S/N S/N ESQ.HOYOS RUBIO CON PASAJE JOSE CARLOS MARIATEGUI S/N CHACLACAYO LIMA LIMA 
-12.0433031,-76.97036729999999,AVENIDA AV. J.C. MARIATEGUI CDRA. 5 - 2DA ETAPA - ESPALDA DE DELEGACIÓN POLICIAL AV. J.C. MARIATEGUI CDRA. 5 - 2DA ETAPA - ESPALDA DE DELEGACIÓN POLICIAL SANTA ANITA LIMA LIMA 
-8.4165648,-78.7518716,PARQUE CL VIRU S/N PARQUE 4-COOP. CHANCAS DE ANDAHUAYLAS - SANTA ANITA S/N CL VIRU S/N PARQUE 4-COOP. CHANCAS DE ANDAHUAYLAS - SANTA ANITA SANTA ANITA LIMA LIMA 
-12.0433031,-76.97036729999999,AVENIDA AV. MARÍA PARADO DE BELLIDO S/N ( ALT. CDRA. 20 DE CÉSAR VALLEJO) S/N AV. MARÍA PARADO DE BELLIDO S/N ( ALT. CDRA. 20 DE CÉSAR VALLEJO) SANTA ANITA LIMA LIMA 
-12.0465937,-76.9689192,AVENIDA AV. LOS RUISEÑORES 873-A URB.SANTA ANITA AV. LOS RUISEÑORES 873-A URB.SANTA ANITA SANTA ANITA LIMA LIMA 
-12.0350429,-76.9473094,AVENIDA AV.METROPOLITANA MZ B LT.7B ASOC. PRO-VIV SAN CARLOS-SANTA ANITA AV.METROPOLITANA MZ B LT.7B ASOC. PRO-VIV SAN CARLOS-SANTA ANITA SANTA ANITA LIMA LIMA 
-12.0347414,-76.95341379999999,URBANIZACION PRODUCTORES MZ A LT 14 URBANIZACION PRODUCTORES MZ A LT 14 SANTA ANITA LIMA LIMA 
-12.0465579,-76.9844866,CALLE JAVIER HERAUD S/N URB. AH NOCHETO S/N CALLE JAVIER HERAUD S/N URB. AH NOCHETO SANTA ANITA LIMA LIMA 
-11.6684084,-76.789553,CALLE LOS CACTUS MZ.W1 LT. 43 COOP. STA. ROSA DE QUIVES CALLE LOS CACTUS MZ.W1 LT. 43 COOP. STA. ROSA DE QUIVES SANTA ANITA LIMA LIMA 
-12.0458047,-76.9482089,CARRETERA CARRETERA CENTRAL KM 3.5 SANTA ANITA CARRETERA CENTRAL KM 3.5 SANTA ANITA SANTA ANITA LIMA LIMA 
-12.0412784,-76.9689796,CALLE LOS MOCHICAS S/N PARQUE LAMPA DE ORO  COOP.CHANCAS DE ANDAHUAYLAS-SANTA ANITA S/N CALLE LOS MOCHICAS S/N PARQUE LAMPA DE ORO  COOP.CHANCAS DE ANDAHUAYLAS-SANTA ANITA SANTA ANITA LIMA LIMA 
-12.05157,-76.95742039999999,CARRETERA CARRETERA CENTRAL KM. 3.5 Nº 1351 DISTRITO SANTA ANITA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.021913,-76.9077533,"AVENIDA AV. CARRETERA CENTRAL 1345, KM. 3.5 DISTRITO SANTA ANITA PROVINCIA LIMA DEPARTAMENTO LIMA "
-12.0433031,-76.97036729999999,AVENIDA AV. J.C. MARIATEGUI CDRA. 5 - 2DA ETAPA - ESPALDA DE DELEGACIÓN POLICIAL AV. J.C. MARIATEGUI CDRA. 5 - 2DA ETAPA - ESPALDA DE DELEGACIÓN POLICIAL SANTA ANITA LIMA LIMA 
-12.1444592,-77.02225059999999,MARTÍNEZ DE PINILLOS 124 A BARRANCO LIMA LIMA 
-12.1453636,-77.02194659999999,AVENIDA AV. GRAU Nº198 AV. GRAU Nº198 BARRANCO LIMA LIMA 
-12.1453636,-77.02194659999999,AVENIDA AV. GRAU Nº198 AV. GRAU Nº198 BARRANCO LIMA LIMA 
-12.167852,-77.0256726,AVENIDA AV. DEFENSORES DEL MORRO (EX HUAYLAS) Nº556 AV. DEFENSORES DEL MORRO (EX HUAYLAS) Nº556 CHORRILLOS LIMA LIMA 
-12.1660968,-77.0204961,CALLE LEOPOLDO ARIAS NRO. 200 CALLE LEOPOLDO ARIAS NRO. 200 CHORRILLOS LIMA LIMA 
-12.1784199,-77.0222376,CALLE LUCANAS MZ 1 LOTE 1 AAHH ARMATAMBO DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.1887035,-77.0049861,AVENIDA AV. BUENOS AIRES DE VILLA S/N. S/N AV. BUENOS AIRES DE VILLA S/N. CHORRILLOS LIMA LIMA 
-12.1964989,-77.01017,JIRÓN NEVADO CARHUAZO S/N II ZONA DELICIAS DE VILLA S/N CHORRILLOS LIMA LIMA 
-12.1953827,-77.022605,AVENIDA AV. PRINCIPAL (ALTURA DE LA CALLE 12) AAHH SAN GENARO AV. PRINCIPAL (ALTURA DE LA CALLE 12) AAHH SAN GENARO CHORRILLOS LIMA LIMA 
,,CALLE JOSE CARLOS MARIATEGUI S/N S/N CALLE JOSE CARLOS MARIATEGUI S/N CHORRILLOS LIMA LIMA 
-12.2027454,-76.9794276,AVENIDA AV. INDEPENDENCIA S/N.AAHH SANTA ISABEL DE VILLA NÚMERO S/N DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.1964408,-76.9847893,"AVENIDA AV. TÚPAC AMARU MZ. E, LT.1 AV. TÚPAC AMARU MZ. E, LT.1 CHORRILLOS LIMA LIMA "
-12.1911114,-76.9880805,AVENIDA AV. 11 S/N AA.HH. SAN JUAN DE LA LIBERTAD S/N AV. 11 S/N AA.HH. SAN JUAN DE LA LIBERTAD CHORRILLOS LIMA LIMA 
