ubigeo,departamento,provincia,distrito,casos_dengue,n_establecimientos,camas,casos_por_establecimiento
150135,Lima,LIMA,SAN MARTIN DE PORRES,8.0,19.0,468.0,0.42105263157894735
150140,Lima,LIMA,SANTIAGO DE SURCO,8.0,7.0,0.0,1.1428571428571428
150143,Lima,LIMA,VILLA MARIA DEL TRIUNFO,60.0,28.0,199.0,2.142857142857143
150501,Lima,CAÑETE,SAN VICENTE DE CAÑETE,1.0,5.0,154.0,0.2
160101,Loreto,MAYNAS,IQUITOS,4386.0,17.0,126.0,258.0
160102,Loreto,MAYNAS,ALTO NANAY,40.0,4.0,0.0,10.0
160103,Loreto,MAYNAS,FERNANDO LORES,437.0,12.0,0.0,36.416666666666664
160104,Loreto,MAYNAS,INDIANA,217.0,7.0,0.0,31.0
160105,Loreto,MAYNAS,LAS AMAZONAS,17.0,4.0,0.0,4.25
160106,Loreto,MAYNAS,MAZAN,152.0,7.0,0.0,21.714285714285715
160107,Loreto,MAYNAS,NAPO,33.0,9.0,0.0,3.6666666666666665
160108,Loreto,MAYNAS,PUNCHANA,2469.0,14.0,219.0,176.35714285714286
160110,Loreto,MAYNAS,TORRES CAUSANA,5.0,5.0,0.0,1.0
160112,Loreto,MAYNAS,BELEN,1218.0,9.0,0.0,135.33333333333334
160113,Loreto,MAYNAS,SAN JUAN BAUTISTA,3775.0,20.0,10.0,188.75
160201,Loreto,ALTO AMAZONAS,YURIMAGUAS,5474.0,39.0,137.0,140.35897435897436
160202,Loreto,ALTO AMAZONAS,BALSAPUERTO,27.0,18.0,10.0,1.5
160206,Loreto,ALTO AMAZONAS,LAGUNAS,214.0,11.0,10.0,19.454545454545453
160210,Loreto,ALTO AMAZONAS,SANTA CRUZ,2.0,7.0,0.0,0.2857142857142857
160211,Loreto,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,64.0,8.0,0.0,8.0
160301,Loreto,LORETO,NAUTA,559.0,10.0,20.0,55.9
160302,Loreto,LORETO,PARINARI,12.0,4.0,0.0,3.0
160303,Loreto,LORETO,TIGRE,63.0,7.0,0.0,9.0
160304,Loreto,LORETO,TROMPETEROS,101.0,12.0,17.0,8.416666666666666
160305,Loreto,LORETO,URARINAS,297.0,7.0,0.0,42.42857142857143
160401,Loreto,MARISCAL RAMON CASTILLA,RAMON CASTILLA,402.0,8.0,22.0,50.25
160402,Loreto,MARISCAL RAMON CASTILLA,PEBAS,63.0,8.0,0.0,7.875
160403,Loreto,MARISCAL RAMON CASTILLA,YAVARI,19.0,5.0,0.0,3.8
160404,Loreto,MARISCAL RAMON CASTILLA,SAN PABLO,36.0,5.0,0.0,7.2
160501,Loreto,REQUENA,REQUENA,188.0,5.0,31.0,37.6
160502,Loreto,REQUENA,ALTO TAPICHE,3.0,3.0,0.0,1.0
160503,Loreto,REQUENA,CAPELO,42.0,2.0,0.0,21.0
160504,Loreto,REQUENA,EMILIO SAN MARTIN,73.0,2.0,0.0,36.5
160505,Loreto,REQUENA,MAQUIA,20.0,10.0,0.0,2.0
160506,Loreto,REQUENA,PUINAHUA,1.0,4.0,0.0,0.25
160507,Loreto,REQUENA,SAQUENA,7.0,4.0,0.0,1.75
160508,Loreto,REQUENA,SOPLIN,1.0,2.0,0.0,0.5
160509,Loreto,REQUENA,TAPICHE,4.0,2.0,0.0,2.0
160510,Loreto,REQUENA,JENARO HERRERA,250.0,1.0,0.0,250.0
160511,Loreto,REQUENA,YAQUERANA,7.0,2.0,0.0,3.5
160601,Loreto,UCAYALI,CONTAMANA,1483.0,12.0,17.0,123.58333333333333
160602,Loreto,UCAYALI,INAHUAYA,84.0,2.0,0.0,42.0
160603,Loreto,UCAYALI,PADRE MARQUEZ,59.0,6.0,0.0,9.833333333333334
160604,Loreto,UCAYALI,PAMPA HERMOSA,12.0,3.0,0.0,4.0
160605,Loreto,UCAYALI,SARAYACU,339.0,13.0,0.0,26.076923076923077
