Año,Semana,Eventos o daños,Departamento,Distrito,Provincia,Ubigeo,Casos
2018,8,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,8,Dengue,UCAYALI,CURIMANA,PADRE ABAD,250303,0
2018,8,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,9,Dengue,UCAYALI,IPARIA,CORONEL PORTILLO,250103,0
2018,9,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,9,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,9,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,9,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,9,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,9,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,10,Dengue,UCAYALI,IPARIA,CORONEL PORTILLO,250103,0
2018,10,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,10,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,10,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,10,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,10,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,10,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,11,Dengue,UCAYALI,IPARIA,CORONEL PORTILLO,250103,0
2018,11,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,11,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,11,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,11,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,11,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,11,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,12,Dengue,UCAYALI,IPARIA,CORONEL PORTILLO,250103,0
2018,12,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,12,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,12,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,12,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,12,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,12,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,13,Dengue,UCAYALI,IPARIA,CORONEL PORTILLO,250103,0
2018,13,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,13,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,13,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,13,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,13,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,13,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,14,Dengue,UCAYALI,IPARIA,CORONEL PORTILLO,250103,0
2018,14,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,14,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,14,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,14,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,14,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,14,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,15,Dengue,UCAYALI,IPARIA,CORONEL PORTILLO,250103,0
2018,15,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,15,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,15,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,15,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,15,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,15,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,16,Dengue,UCAYALI,IPARIA,CORONEL PORTILLO,250103,0
2018,16,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,16,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,16,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,16,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,16,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,16,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,17,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,17,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,17,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,17,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,17,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,17,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,18,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,18,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,18,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,18,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,18,Dengue,UCAYALI,IRAZOLA,PADRE ABAD,250302,0
2018,18,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,19,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,19,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,19,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,19,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,19,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,20,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,20,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,20,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,20,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,20,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,21,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,21,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,21,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,21,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,21,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,22,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,22,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,22,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,22,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,22,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,23,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,23,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,23,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,23,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,23,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,24,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,24,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,24,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,24,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,24,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,25,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
2018,25,Dengue,UCAYALI,NUEVA REQUENA,CORONEL PORTILLO,250106,0
2018,25,Dengue,UCAYALI,TAHUANIA,ATALAYA,250203,0
2018,25,Dengue,UCAYALI,YURUA,ATALAYA,250204,0
2018,25,Dengue,UCAYALI,ALEXANDER VON HUMBOLDT,PADRE ABAD,250305,0
2018,26,Dengue,UCAYALI,MASISEA,CORONEL PORTILLO,250104,0
