,idx,travel_time_best_guess,travel_time_pessimistic,travel_time_optimistic,travel_distance_best_guess,travel_distance_pessimistic,travel_distance_optimistic
480,480.0,2166.0,2194.0,2124.0,12.4,12.4,12.4
481,481.0,3546.0,3546.0,3546.0,22.1,22.1,22.1
482,482.0,2822.0,2835.0,2759.0,17.2,17.2,17.2
483,483.0,1484.0,1484.0,1484.0,8.1,8.1,8.1
484,484.0,,,,,,
485,485.0,2187.0,2198.0,2134.0,13.2,13.2,13.2
486,486.0,2302.0,2366.0,,13.6,13.6,
487,487.0,4992.0,4992.0,4992.0,31.4,31.4,31.4
488,488.0,1819.0,1802.0,1792.0,9.4,9.4,9.4
489,489.0,1810.0,1794.0,1783.0,9.4,9.4,9.4
490,490.0,2322.0,2388.0,2249.0,13.7,13.7,13.7
491,491.0,2300.0,2349.0,2238.0,13.5,13.5,13.5
492,492.0,2072.0,2096.0,2027.0,12.1,12.1,12.1
493,493.0,2346.0,2416.0,2272.0,13.9,13.9,13.9
494,494.0,,,,,,
495,495.0,5054.0,5072.0,5037.0,34.9,34.9,34.9
496,496.0,5140.0,5159.0,5123.0,34.9,34.9,34.9
497,497.0,2683.0,2669.0,2669.0,30.9,30.9,30.9
498,498.0,3927.0,3927.0,3927.0,25.7,25.7,25.7
499,499.0,6072.0,6072.0,6072.0,41.7,41.7,41.7
500,500.0,7397.0,7397.0,7397.0,51.7,51.7,51.7
501,501.0,1666.0,1646.0,1646.0,10.3,10.3,10.3
502,502.0,5723.0,5723.0,5723.0,40.5,40.5,40.5
503,503.0,5144.0,5162.0,5127.0,36.4,36.4,36.4
504,504.0,6583.0,6583.0,6583.0,46.4,46.4,46.4
505,505.0,6413.0,6413.0,6413.0,58.7,58.7,58.7
506,506.0,8115.0,8115.0,8115.0,56.1,56.1,56.1
507,507.0,1841.0,1844.0,1810.0,15.2,15.2,15.2
508,508.0,,,,,,
509,509.0,1355.0,1350.0,1328.0,10.2,10.2,10.2
510,510.0,3152.0,3167.0,3145.0,19.3,19.3,19.3
511,511.0,1411.0,1406.0,1384.0,10.4,10.4,10.4
512,512.0,568.0,568.0,568.0,2.7,2.7,2.7
513,513.0,2860.0,3114.0,2620.0,22.8,22.8,22.8
514,514.0,383.0,383.0,383.0,2.4,2.4,2.4
515,515.0,1429.0,1429.0,1429.0,7.3,7.3,7.3
516,516.0,429.0,429.0,429.0,2.6,2.6,2.6
517,517.0,,1861.0,1861.0,,11.7,11.7
518,518.0,2264.0,2264.0,2264.0,13.0,13.0,13.0
519,519.0,1959.0,1959.0,1959.0,10.9,10.9,10.9
520,520.0,1565.0,1566.0,1541.0,13.4,13.4,13.4
521,521.0,1996.0,1993.0,1961.0,17.3,17.3,17.3
522,522.0,1684.0,1735.0,1635.0,11.1,11.1,11.1
523,523.0,1526.0,1577.0,1486.0,10.1,10.1,10.1
524,524.0,1285.0,1321.0,1274.0,6.5,6.5,6.5
525,525.0,1365.0,1408.0,1344.0,7.7,7.7,7.7
526,526.0,667.0,667.0,667.0,3.9,3.9,3.9
527,527.0,2641.0,2806.0,2506.0,14.8,14.8,14.8
528,528.0,3940.0,4408.0,3611.0,21.4,21.4,21.4
529,529.0,4171.0,4824.0,3793.0,24.9,24.9,24.9
530,530.0,3836.0,4045.0,3654.0,23.5,23.5,23.5
531,531.0,1683.0,1695.0,1671.0,8.6,8.6,8.6
532,532.0,3405.0,3528.0,3351.0,20.5,20.5,20.5
533,533.0,2737.0,2851.0,2672.0,14.8,14.8,14.8
534,534.0,1562.0,1630.0,1518.0,9.3,9.3,9.3
535,535.0,2631.0,2811.0,2480.0,14.1,14.1,14.1
536,536.0,2353.0,2452.0,2253.0,13.5,13.5,13.5
537,537.0,3879.0,4334.0,3559.0,21.1,21.1,21.1
538,538.0,3382.0,3867.0,3063.0,19.1,19.1,19.1
539,539.0,2290.0,2417.0,2165.0,13.3,13.3,13.3
540,540.0,2257.0,2381.0,2130.0,13.2,13.2,13.2
541,541.0,2311.0,2439.0,2186.0,13.2,13.2,13.2
542,542.0,2226.0,2359.0,2108.0,12.9,12.9,12.9
543,543.0,2154.0,2288.0,2044.0,12.7,12.7,12.7
544,544.0,2814.0,2977.0,2649.0,14.1,14.1,14.1
545,545.0,2610.0,2789.0,2459.0,14.1,14.1,14.1
546,546.0,2264.0,2389.0,2137.0,13.2,13.2,13.2
547,547.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
548,548.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
549,549.0,2836.0,3022.0,2656.0,14.5,14.5,14.5
550,550.0,2602.0,2775.0,2475.0,14.6,14.6,14.6
551,551.0,2625.0,2804.0,2473.0,14.1,14.1,14.1
552,552.0,2935.0,3370.0,2656.0,16.4,16.4,16.4
553,553.0,2803.0,2974.0,2643.0,14.6,14.6,14.6
554,554.0,3166.0,3334.0,3027.0,17.4,17.4,17.4
555,555.0,2334.0,2527.0,2201.0,13.2,13.2,13.2
556,556.0,2302.0,2430.0,2184.0,13.2,13.2,13.2
557,557.0,2210.0,2244.0,2148.0,12.7,12.7,12.7
558,558.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
559,559.0,6230.0,6365.0,6178.0,35.3,35.3,35.3
560,560.0,3091.0,3333.0,2890.0,15.7,15.7,15.7
561,561.0,2613.0,2780.0,2480.0,14.6,14.6,14.6
562,562.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
563,563.0,2092.0,2194.0,1989.0,12.4,12.4,12.4
564,564.0,2617.0,2784.0,2483.0,14.7,14.7,14.7
565,565.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
566,566.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
567,567.0,4063.0,4191.0,4001.0,24.1,24.1,24.1
568,568.0,2228.0,2399.0,2090.0,13.1,13.1,13.1
569,569.0,3348.0,3831.0,3024.0,18.8,18.8,18.8
570,570.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
571,571.0,2556.0,2719.0,2409.0,13.9,13.9,13.9
572,572.0,3554.0,4019.0,3253.0,19.6,19.6,19.6
573,573.0,2673.0,2907.0,2466.0,15.2,15.2,15.2
574,574.0,2243.0,2418.0,2106.0,13.2,13.2,13.2
575,575.0,2634.0,2819.0,2491.0,14.5,14.5,14.5
576,576.0,2090.0,2213.0,1983.0,12.4,12.4,12.4
577,577.0,2722.0,2903.0,2565.0,14.1,14.1,14.1
578,578.0,2616.0,2794.0,2465.0,14.1,14.1,14.1
579,579.0,2824.0,2991.0,2666.0,14.6,14.6,14.6
580,580.0,2559.0,2722.0,2410.0,13.9,13.9,13.9
581,581.0,2293.0,2421.0,2176.0,13.1,13.1,13.1
582,582.0,2367.0,2549.0,2221.0,13.7,13.7,13.7
583,583.0,2597.0,2774.0,2446.0,14.0,14.0,14.0
584,584.0,2153.0,2188.0,2091.0,12.4,12.4,12.4
585,585.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
586,586.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
587,587.0,2459.0,2642.0,2312.0,13.5,13.5,13.5
588,588.0,2789.0,2972.0,2629.0,14.3,14.3,14.3
589,589.0,2370.0,2548.0,2225.0,13.2,13.2,13.2
590,590.0,2240.0,2416.0,2101.0,13.2,13.2,13.2
591,591.0,2604.0,2608.0,2595.0,20.0,20.0,20.0
592,592.0,2281.0,2409.0,2156.0,13.1,13.1,13.1
593,593.0,2827.0,2974.0,2664.0,14.3,14.3,14.3
594,594.0,2674.0,2825.0,2512.0,13.8,13.8,13.8
595,595.0,2254.0,2378.0,2127.0,13.1,13.1,13.1
596,596.0,2685.0,2833.0,2562.0,15.0,15.0,15.0
597,597.0,3335.0,3825.0,3007.0,18.8,18.8,18.8
598,598.0,2670.0,2825.0,2509.0,13.8,13.8,13.8
