ubigeo,departamento,provincia,distrito,casos_dengue,n_establecimientos
061306,CAJAMARCA,SANTA CRUZ,NINABAMBA,1.0,3.0
150118,LIMA,LIMA,LURIGANCHO,625.0,23.0
150101,LIMA,LIMA,LIMA,139.0,24.0
150121,LIMA,LIMA,PUEBLO LIBRE,1.0,1.0
150128,LIMA,LIMA,RIMAC,3.0,10.0
150112,LIMA,LIMA,INDEPENDENCIA,40.0,12.0
150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,56.0,36.0
150131,LIMA,LIMA,SAN ISIDRO,2.0,4.0
150115,LIMA,LIMA,LA VICTORIA,4.0,9.0
100101,HUANUCO,HUANUCO,HUANUCO,15.0,8.0
100102,HUANUCO,HUANUCO,AMARILIS,16.0,7.0
100111,HUANUCO,HUANUCO,PILLCO MARCA,8.0,1.0
100801,HUANUCO,PACHITEA,PANAO,1.0,5.0
100103,HUANUCO,HUANUCO,CHINCHAO,1.0,4.0
100802,HUANUCO,PACHITEA,CHAGLLA,4.0,4.0
100507,HUANUCO,HUAMALIES,MONZON,164.0,10.0
100901,HUANUCO,PUERTO INCA,PUERTO INCA,554.0,10.0
100902,HUANUCO,PUERTO INCA,CODO DEL POZUZO,49.0,8.0
100606,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,125.0,5.0
100604,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,285.0,6.0
100702,HUANUCO,MARAÑON,CHOLON,7.0,5.0
100903,HUANUCO,PUERTO INCA,HONORIA,56.0,6.0
100905,HUANUCO,PUERTO INCA,YUYAPICHIS,102.0,6.0
160601,LORETO,UCAYALI,CONTAMANA,1483.0,12.0
160602,LORETO,UCAYALI,INAHUAYA,84.0,2.0
160603,LORETO,UCAYALI,PADRE MARQUEZ,59.0,6.0
160604,LORETO,UCAYALI,PAMPA HERMOSA,12.0,3.0
220703,SAN MARTIN,PICOTA,CASPISAPA,50.0,1.0
220202,SAN MARTIN,BELLAVISTA,ALTO BIAVO,82.0,6.0
050808,AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA,1.0,1.0
070106,CALLAO,CALLAO,VENTANILLA,9.0,17.0
070101,CALLAO,CALLAO,CALLAO,2.0,32.0
110210,ICA,CHINCHA,SUNAMPE,140.0,1.0
110201,ICA,CHINCHA,CHINCHA ALTA,457.0,5.0
110207,ICA,CHINCHA,PUEBLO NUEVO,400.0,5.0
120114,JUNIN,HUANCAYO,EL TAMBO,1.0,20.0
150103,LIMA,LIMA,ATE,119.0,22.0
150125,LIMA,LIMA,PUENTE PIEDRA,211.0,10.0
150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,9.0,27.0
150140,LIMA,LIMA,SANTIAGO DE SURCO,8.0,7.0
150143,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,60.0,28.0
150135,LIMA,LIMA,SAN MARTIN DE PORRES,8.0,19.0
150110,LIMA,LIMA,COMAS,509.0,26.0
150111,LIMA,LIMA,EL AGUSTINO,1.0,12.0
150117,LIMA,LIMA,LOS OLIVOS,15.0,11.0
021101,ANCASH,HUARMEY,HUARMEY,4.0,5.0
120606,JUNIN,SATIPO,PANGOA,1276.0,39.0
120602,JUNIN,SATIPO,COVIRIALI,68.0,6.0
120601,JUNIN,SATIPO,SATIPO,1516.0,11.0
120607,JUNIN,SATIPO,RIO NEGRO,453.0,16.0
120305,JUNIN,CHANCHAMAYO,SAN RAMON,928.0,4.0
120501,JUNIN,JUNIN,JUNIN,2.0,4.0
150106,LIMA,LIMA,CARABAYLLO,76.0,13.0
150124,LIMA,LIMA,PUCUSANA,5.0,2.0
150127,LIMA,LIMA,PUNTA NEGRA,0.0,1.0
050611,AYACUCHO,LUCANAS,LUCANAS,1.0,4.0
110301,ICA,NASCA,NASCA,1047.0,4.0
