ORGANIZACIONES POLÍTICAS,TOTAL,%VÁLIDOS,%EMITIDOS,DEPARTAMENTO,PROVINCIA,DISTRITO
PARTIDO MORADO,2,1.242%,0.995%,AMAZONAS,CHACHAPOYAS,SOLOCO
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,SOLOCO
VICTORIA NACIONAL,9,5.590%,4.478%,AMAZONAS,CHACHAPOYAS,SOLOCO
ACCION POPULAR,13,8.075%,6.468%,AMAZONAS,CHACHAPOYAS,SOLOCO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,20,12.422%,9.950%,AMAZONAS,CHACHAPOYAS,SOLOCO
PODEMOS PERU,2,1.242%,0.995%,AMAZONAS,CHACHAPOYAS,SOLOCO
JUNTOS POR EL PERU,16,9.938%,7.960%,AMAZONAS,CHACHAPOYAS,SOLOCO
PARTIDO POPULAR CRISTIANO - PPC,3,1.863%,1.493%,AMAZONAS,CHACHAPOYAS,SOLOCO
FUERZA POPULAR,22,13.665%,10.945%,AMAZONAS,CHACHAPOYAS,SOLOCO
UNION POR EL PERU,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,SOLOCO
RENOVACION POPULAR,10,6.211%,4.975%,AMAZONAS,CHACHAPOYAS,SOLOCO
RENACIMIENTO UNIDO NACIONAL,1,0.621%,0.498%,AMAZONAS,CHACHAPOYAS,SOLOCO
PARTIDO DEMOCRATICO SOMOS PERU,2,1.242%,0.995%,AMAZONAS,CHACHAPOYAS,SOLOCO
PARTIDO POLITICO NACIONAL PERU LIBRE,25,15.528%,12.438%,AMAZONAS,CHACHAPOYAS,SOLOCO
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,SOLOCO
ALIANZA PARA EL PROGRESO,10,6.211%,4.975%,AMAZONAS,CHACHAPOYAS,SOLOCO
PARTIDO NACIONALISTA PERUANO,29,10.000%,7.989%,AMAZONAS,CHACHAPOYAS,SONCHE
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2,0.690%,0.551%,AMAZONAS,CHACHAPOYAS,SONCHE
PARTIDO MORADO,3,1.034%,0.826%,AMAZONAS,CHACHAPOYAS,SONCHE
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,SONCHE
VICTORIA NACIONAL,10,3.448%,2.755%,AMAZONAS,CHACHAPOYAS,SONCHE
ACCION POPULAR,73,25.172%,20.110%,AMAZONAS,CHACHAPOYAS,SONCHE
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,16,5.517%,4.408%,AMAZONAS,CHACHAPOYAS,SONCHE
PODEMOS PERU,1,0.345%,0.275%,AMAZONAS,CHACHAPOYAS,SONCHE
JUNTOS POR EL PERU,44,15.172%,12.121%,AMAZONAS,CHACHAPOYAS,SONCHE
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,CHACHAPOYAS,SONCHE
FUERZA POPULAR,50,17.241%,13.774%,AMAZONAS,CHACHAPOYAS,SONCHE
UNION POR EL PERU,2,0.690%,0.551%,AMAZONAS,CHACHAPOYAS,SONCHE
RENOVACION POPULAR,9,3.103%,2.479%,AMAZONAS,CHACHAPOYAS,SONCHE
RENACIMIENTO UNIDO NACIONAL,2,0.690%,0.551%,AMAZONAS,CHACHAPOYAS,SONCHE
PARTIDO DEMOCRATICO SOMOS PERU,4,1.379%,1.102%,AMAZONAS,CHACHAPOYAS,SONCHE
PARTIDO POLITICO NACIONAL PERU LIBRE,37,12.759%,10.193%,AMAZONAS,CHACHAPOYAS,SONCHE
DEMOCRACIA DIRECTA,1,0.345%,0.275%,AMAZONAS,CHACHAPOYAS,SONCHE
ALIANZA PARA EL PROGRESO,7,2.414%,1.928%,AMAZONAS,CHACHAPOYAS,SONCHE
PARTIDO NACIONALISTA PERUANO,38,1.712%,1.242%,AMAZONAS,LUYA,INGUILPATA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",7,0.315%,0.229%,AMAZONAS,LUYA,INGUILPATA
PARTIDO MORADO,20,0.901%,0.654%,AMAZONAS,LUYA,INGUILPATA
PERU PATRIA SEGURA,4,0.180%,0.131%,AMAZONAS,LUYA,INGUILPATA
VICTORIA NACIONAL,48,2.163%,1.569%,AMAZONAS,LUYA,INGUILPATA
ACCION POPULAR,153,6.895%,5.002%,AMAZONAS,LUYA,INGUILPATA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,36,1.622%,1.177%,AMAZONAS,LUYA,INGUILPATA
PODEMOS PERU,18,0.811%,0.588%,AMAZONAS,LUYA,INGUILPATA
JUNTOS POR EL PERU,131,5.904%,4.282%,AMAZONAS,LUYA,INGUILPATA
PARTIDO POPULAR CRISTIANO - PPC,7,0.315%,0.229%,AMAZONAS,LUYA,INGUILPATA
FUERZA POPULAR,217,9.779%,7.094%,AMAZONAS,LUYA,INGUILPATA
UNION POR EL PERU,49,2.208%,1.602%,AMAZONAS,LUYA,INGUILPATA
RENOVACION POPULAR,58,2.614%,1.896%,AMAZONAS,LUYA,INGUILPATA
RENACIMIENTO UNIDO NACIONAL,23,1.037%,0.752%,AMAZONAS,LUYA,INGUILPATA
PARTIDO DEMOCRATICO SOMOS PERU,49,2.208%,1.602%,AMAZONAS,LUYA,INGUILPATA
PARTIDO POLITICO NACIONAL PERU LIBRE,1120,50.473%,36.613%,AMAZONAS,LUYA,INGUILPATA
DEMOCRACIA DIRECTA,3,0.135%,0.098%,AMAZONAS,LUYA,INGUILPATA
ALIANZA PARA EL PROGRESO,238,10.726%,7.780%,AMAZONAS,LUYA,INGUILPATA
PARTIDO NACIONALISTA PERUANO,73,10.549%,7.565%,AMAZONAS,LUYA,LAMUD
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",3,0.434%,0.311%,AMAZONAS,LUYA,LAMUD
PARTIDO MORADO,9,1.301%,0.933%,AMAZONAS,LUYA,LAMUD
PERU PATRIA SEGURA,2,0.289%,0.207%,AMAZONAS,LUYA,LAMUD
VICTORIA NACIONAL,6,0.867%,0.622%,AMAZONAS,LUYA,LAMUD
ACCION POPULAR,35,5.058%,3.627%,AMAZONAS,LUYA,LAMUD
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,12,1.734%,1.244%,AMAZONAS,LUYA,LAMUD
PODEMOS PERU,10,1.445%,1.036%,AMAZONAS,LUYA,LAMUD
JUNTOS POR EL PERU,58,8.382%,6.010%,AMAZONAS,LUYA,LAMUD
PARTIDO POPULAR CRISTIANO - PPC,2,0.289%,0.207%,AMAZONAS,LUYA,LAMUD
FUERZA POPULAR,106,15.318%,10.984%,AMAZONAS,LUYA,LAMUD
UNION POR EL PERU,0,0.000%,0.000%,AMAZONAS,LUYA,LAMUD
RENOVACION POPULAR,27,3.902%,2.798%,AMAZONAS,LUYA,LAMUD
RENACIMIENTO UNIDO NACIONAL,10,1.445%,1.036%,AMAZONAS,LUYA,LAMUD
PARTIDO DEMOCRATICO SOMOS PERU,4,0.578%,0.415%,AMAZONAS,LUYA,LAMUD
PARTIDO POLITICO NACIONAL PERU LIBRE,280,40.462%,29.016%,AMAZONAS,LUYA,LAMUD
DEMOCRACIA DIRECTA,2,0.289%,0.207%,AMAZONAS,LUYA,LAMUD
ALIANZA PARA EL PROGRESO,53,7.659%,5.492%,AMAZONAS,LUYA,LAMUD
PARTIDO NACIONALISTA PERUANO,34,16.190%,11.075%,AMAZONAS,LUYA,LONGUITA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2,0.952%,0.651%,AMAZONAS,LUYA,LONGUITA
PARTIDO MORADO,6,2.857%,1.954%,AMAZONAS,LUYA,LONGUITA
PERU PATRIA SEGURA,3,1.429%,0.977%,AMAZONAS,LUYA,LONGUITA
VICTORIA NACIONAL,12,5.714%,3.909%,AMAZONAS,LUYA,LONGUITA
ACCION POPULAR,21,10.000%,6.840%,AMAZONAS,LUYA,LONGUITA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,6,2.857%,1.954%,AMAZONAS,LUYA,LONGUITA
PODEMOS PERU,5,2.381%,1.629%,AMAZONAS,LUYA,LONGUITA
JUNTOS POR EL PERU,22,10.476%,7.166%,AMAZONAS,LUYA,LONGUITA
PARTIDO POPULAR CRISTIANO - PPC,2,0.952%,0.651%,AMAZONAS,LUYA,LONGUITA
FUERZA POPULAR,42,20.000%,13.681%,AMAZONAS,LUYA,LONGUITA
UNION POR EL PERU,0,0.000%,0.000%,AMAZONAS,LUYA,LONGUITA
RENOVACION POPULAR,9,4.286%,2.932%,AMAZONAS,LUYA,LONGUITA
RENACIMIENTO UNIDO NACIONAL,1,0.476%,0.326%,AMAZONAS,LUYA,LONGUITA
PARTIDO DEMOCRATICO SOMOS PERU,0,0.000%,0.000%,AMAZONAS,LUYA,LONGUITA
PARTIDO POLITICO NACIONAL PERU LIBRE,23,10.952%,7.492%,AMAZONAS,LUYA,LONGUITA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,LUYA,LONGUITA
ALIANZA PARA EL PROGRESO,22,10.476%,7.166%,AMAZONAS,LUYA,LONGUITA
PARTIDO NACIONALISTA PERUANO,120,14.851%,11.152%,AMAZONAS,LUYA,LONYA CHICO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2,0.248%,0.186%,AMAZONAS,LUYA,LONYA CHICO
PARTIDO MORADO,19,2.351%,1.766%,AMAZONAS,LUYA,LONYA CHICO
PERU PATRIA SEGURA,3,0.371%,0.279%,AMAZONAS,LUYA,LONYA CHICO
VICTORIA NACIONAL,44,5.446%,4.089%,AMAZONAS,LUYA,LONYA CHICO
ACCION POPULAR,61,7.550%,5.669%,AMAZONAS,LUYA,LONYA CHICO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,37,4.579%,3.439%,AMAZONAS,LUYA,LONYA CHICO
PODEMOS PERU,20,2.475%,1.859%,AMAZONAS,LUYA,LONYA CHICO
JUNTOS POR EL PERU,102,12.624%,9.480%,AMAZONAS,LUYA,LONYA CHICO
PARTIDO POPULAR CRISTIANO - PPC,4,0.495%,0.372%,AMAZONAS,LUYA,LONYA CHICO
FUERZA POPULAR,59,7.302%,5.483%,AMAZONAS,LUYA,LONYA CHICO
UNION POR EL PERU,14,1.733%,1.301%,AMAZONAS,LUYA,LONYA CHICO
RENOVACION POPULAR,106,13.119%,9.851%,AMAZONAS,LUYA,LONYA CHICO
RENACIMIENTO UNIDO NACIONAL,3,0.371%,0.279%,AMAZONAS,LUYA,LONYA CHICO
PARTIDO DEMOCRATICO SOMOS PERU,6,0.743%,0.558%,AMAZONAS,LUYA,LONYA CHICO
PARTIDO POLITICO NACIONAL PERU LIBRE,125,15.470%,11.617%,AMAZONAS,LUYA,LONYA CHICO
DEMOCRACIA DIRECTA,3,0.371%,0.279%,AMAZONAS,LUYA,LONYA CHICO
ALIANZA PARA EL PROGRESO,80,9.901%,7.435%,AMAZONAS,LUYA,LONYA CHICO
PARTIDO NACIONALISTA PERUANO,23,7.395%,5.779%,AMAZONAS,LUYA,LUYA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",3,0.965%,0.754%,AMAZONAS,LUYA,LUYA
PARTIDO MORADO,8,2.572%,2.010%,AMAZONAS,LUYA,LUYA
PERU PATRIA SEGURA,2,0.643%,0.503%,AMAZONAS,LUYA,LUYA
VICTORIA NACIONAL,11,3.537%,2.764%,AMAZONAS,LUYA,LUYA
ACCION POPULAR,30,9.646%,7.538%,AMAZONAS,LUYA,LUYA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,14,4.502%,3.518%,AMAZONAS,LUYA,LUYA
PODEMOS PERU,1,0.322%,0.251%,AMAZONAS,LUYA,LUYA
JUNTOS POR EL PERU,43,13.826%,10.804%,AMAZONAS,LUYA,LUYA
PARTIDO POPULAR CRISTIANO - PPC,1,0.322%,0.251%,AMAZONAS,LUYA,LUYA
FUERZA POPULAR,65,20.900%,16.332%,AMAZONAS,LUYA,LUYA
UNION POR EL PERU,0,0.000%,0.000%,AMAZONAS,LUYA,LUYA
RENOVACION POPULAR,3,0.965%,0.754%,AMAZONAS,LUYA,LUYA
RENACIMIENTO UNIDO NACIONAL,3,0.965%,0.754%,AMAZONAS,LUYA,LUYA
PARTIDO DEMOCRATICO SOMOS PERU,4,1.286%,1.005%,AMAZONAS,LUYA,LUYA
PARTIDO POLITICO NACIONAL PERU LIBRE,48,15.434%,12.060%,AMAZONAS,LUYA,LUYA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,LUYA,LUYA
ALIANZA PARA EL PROGRESO,52,16.720%,13.065%,AMAZONAS,LUYA,LUYA
PARTIDO NACIONALISTA PERUANO,23,7.395%,5.779%,AMAZONAS,LUYA,LUYA VIEJO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",3,0.965%,0.754%,AMAZONAS,LUYA,LUYA VIEJO
PARTIDO MORADO,8,2.572%,2.010%,AMAZONAS,LUYA,LUYA VIEJO
PERU PATRIA SEGURA,2,0.643%,0.503%,AMAZONAS,LUYA,LUYA VIEJO
VICTORIA NACIONAL,11,3.537%,2.764%,AMAZONAS,LUYA,LUYA VIEJO
ACCION POPULAR,30,9.646%,7.538%,AMAZONAS,LUYA,LUYA VIEJO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,14,4.502%,3.518%,AMAZONAS,LUYA,LUYA VIEJO
PODEMOS PERU,1,0.322%,0.251%,AMAZONAS,LUYA,LUYA VIEJO
JUNTOS POR EL PERU,43,13.826%,10.804%,AMAZONAS,LUYA,LUYA VIEJO
PARTIDO POPULAR CRISTIANO - PPC,1,0.322%,0.251%,AMAZONAS,LUYA,LUYA VIEJO
FUERZA POPULAR,65,20.900%,16.332%,AMAZONAS,LUYA,LUYA VIEJO
UNION POR EL PERU,0,0.000%,0.000%,AMAZONAS,LUYA,LUYA VIEJO
RENOVACION POPULAR,3,0.965%,0.754%,AMAZONAS,LUYA,LUYA VIEJO
RENACIMIENTO UNIDO NACIONAL,3,0.965%,0.754%,AMAZONAS,LUYA,LUYA VIEJO
PARTIDO DEMOCRATICO SOMOS PERU,4,1.286%,1.005%,AMAZONAS,LUYA,LUYA VIEJO
PARTIDO POLITICO NACIONAL PERU LIBRE,48,15.434%,12.060%,AMAZONAS,LUYA,LUYA VIEJO
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,LUYA,LUYA VIEJO
ALIANZA PARA EL PROGRESO,52,16.720%,13.065%,AMAZONAS,LUYA,LUYA VIEJO
PARTIDO NACIONALISTA PERUANO,28,15.217%,11.814%,AMAZONAS,LUYA,MARIA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",4,2.174%,1.688%,AMAZONAS,LUYA,MARIA
PARTIDO MORADO,5,2.717%,2.110%,AMAZONAS,LUYA,MARIA
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,LUYA,MARIA
VICTORIA NACIONAL,3,1.630%,1.266%,AMAZONAS,LUYA,MARIA
ACCION POPULAR,17,9.239%,7.173%,AMAZONAS,LUYA,MARIA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,8,4.348%,3.376%,AMAZONAS,LUYA,MARIA
PODEMOS PERU,1,0.543%,0.422%,AMAZONAS,LUYA,MARIA
JUNTOS POR EL PERU,14,7.609%,5.907%,AMAZONAS,LUYA,MARIA
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,LUYA,MARIA
FUERZA POPULAR,25,13.587%,10.549%,AMAZONAS,LUYA,MARIA
UNION POR EL PERU,1,0.543%,0.422%,AMAZONAS,LUYA,MARIA
RENOVACION POPULAR,15,8.152%,6.329%,AMAZONAS,LUYA,MARIA
RENACIMIENTO UNIDO NACIONAL,1,0.543%,0.422%,AMAZONAS,LUYA,MARIA
PARTIDO DEMOCRATICO SOMOS PERU,1,0.543%,0.422%,AMAZONAS,LUYA,MARIA
PARTIDO POLITICO NACIONAL PERU LIBRE,31,16.848%,13.080%,AMAZONAS,LUYA,MARIA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,LUYA,MARIA
ALIANZA PARA EL PROGRESO,30,16.304%,12.658%,AMAZONAS,LUYA,MARIA
PARTIDO NACIONALISTA PERUANO,28,15.217%,11.814%,AMAZONAS,LUYA,OCALLI
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",4,2.174%,1.688%,AMAZONAS,LUYA,OCALLI
PARTIDO MORADO,5,2.717%,2.110%,AMAZONAS,LUYA,OCALLI
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,LUYA,OCALLI
VICTORIA NACIONAL,3,1.630%,1.266%,AMAZONAS,LUYA,OCALLI
ACCION POPULAR,17,9.239%,7.173%,AMAZONAS,LUYA,OCALLI
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,8,4.348%,3.376%,AMAZONAS,LUYA,OCALLI
PODEMOS PERU,1,0.543%,0.422%,AMAZONAS,LUYA,OCALLI
JUNTOS POR EL PERU,14,7.609%,5.907%,AMAZONAS,LUYA,OCALLI
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,LUYA,OCALLI
FUERZA POPULAR,25,13.587%,10.549%,AMAZONAS,LUYA,OCALLI
UNION POR EL PERU,1,0.543%,0.422%,AMAZONAS,LUYA,OCALLI
RENOVACION POPULAR,15,8.152%,6.329%,AMAZONAS,LUYA,OCALLI
RENACIMIENTO UNIDO NACIONAL,1,0.543%,0.422%,AMAZONAS,LUYA,OCALLI
PARTIDO DEMOCRATICO SOMOS PERU,1,0.543%,0.422%,AMAZONAS,LUYA,OCALLI
PARTIDO POLITICO NACIONAL PERU LIBRE,31,16.848%,13.080%,AMAZONAS,LUYA,OCALLI
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,LUYA,OCALLI
ALIANZA PARA EL PROGRESO,30,16.304%,12.658%,AMAZONAS,LUYA,OCALLI
PARTIDO NACIONALISTA PERUANO,13,4.050%,2.955%,AMAZONAS,LUYA,OCUMAL
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",4,1.246%,0.909%,AMAZONAS,LUYA,OCUMAL
PARTIDO MORADO,3,0.935%,0.682%,AMAZONAS,LUYA,OCUMAL
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,LUYA,OCUMAL
VICTORIA NACIONAL,11,3.427%,2.500%,AMAZONAS,LUYA,OCUMAL
ACCION POPULAR,50,15.576%,11.364%,AMAZONAS,LUYA,OCUMAL
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,5,1.558%,1.136%,AMAZONAS,LUYA,OCUMAL
PODEMOS PERU,3,0.935%,0.682%,AMAZONAS,LUYA,OCUMAL
JUNTOS POR EL PERU,36,11.215%,8.182%,AMAZONAS,LUYA,OCUMAL
PARTIDO POPULAR CRISTIANO - PPC,1,0.312%,0.227%,AMAZONAS,LUYA,OCUMAL
FUERZA POPULAR,42,13.084%,9.545%,AMAZONAS,LUYA,OCUMAL
UNION POR EL PERU,0,0.000%,0.000%,AMAZONAS,LUYA,OCUMAL
RENOVACION POPULAR,22,6.854%,5.000%,AMAZONAS,LUYA,OCUMAL
RENACIMIENTO UNIDO NACIONAL,3,0.935%,0.682%,AMAZONAS,LUYA,OCUMAL
PARTIDO DEMOCRATICO SOMOS PERU,5,1.558%,1.136%,AMAZONAS,LUYA,OCUMAL
PARTIDO POLITICO NACIONAL PERU LIBRE,87,27.103%,19.773%,AMAZONAS,LUYA,OCUMAL
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,LUYA,OCUMAL
ALIANZA PARA EL PROGRESO,36,11.215%,8.182%,AMAZONAS,LUYA,OCUMAL
PARTIDO NACIONALISTA PERUANO,34,3.317%,2.163%,AMAZONAS,LUYA,PISUQUIA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",11,1.073%,0.700%,AMAZONAS,LUYA,PISUQUIA
PARTIDO MORADO,13,1.268%,0.827%,AMAZONAS,LUYA,PISUQUIA
PERU PATRIA SEGURA,3,0.293%,0.191%,AMAZONAS,LUYA,PISUQUIA
VICTORIA NACIONAL,39,3.805%,2.481%,AMAZONAS,LUYA,PISUQUIA
ACCION POPULAR,108,10.537%,6.870%,AMAZONAS,LUYA,PISUQUIA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,30,2.927%,1.908%,AMAZONAS,LUYA,PISUQUIA
PODEMOS PERU,13,1.268%,0.827%,AMAZONAS,LUYA,PISUQUIA
JUNTOS POR EL PERU,141,13.756%,8.969%,AMAZONAS,LUYA,PISUQUIA
PARTIDO POPULAR CRISTIANO - PPC,2,0.195%,0.127%,AMAZONAS,LUYA,PISUQUIA
FUERZA POPULAR,165,16.098%,10.496%,AMAZONAS,LUYA,PISUQUIA
UNION POR EL PERU,7,0.683%,0.445%,AMAZONAS,LUYA,PISUQUIA
RENOVACION POPULAR,27,2.634%,1.718%,AMAZONAS,LUYA,PISUQUIA
RENACIMIENTO UNIDO NACIONAL,9,0.878%,0.573%,AMAZONAS,LUYA,PISUQUIA
PARTIDO DEMOCRATICO SOMOS PERU,33,3.220%,2.099%,AMAZONAS,LUYA,PISUQUIA
PARTIDO POLITICO NACIONAL PERU LIBRE,278,27.122%,17.684%,AMAZONAS,LUYA,PISUQUIA
DEMOCRACIA DIRECTA,2,0.195%,0.127%,AMAZONAS,LUYA,PISUQUIA
ALIANZA PARA EL PROGRESO,110,10.732%,6.997%,AMAZONAS,LUYA,PISUQUIA
PARTIDO NACIONALISTA PERUANO,34,3.317%,2.163%,AMAZONAS,LUYA,PROVIDENCIA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",11,1.073%,0.700%,AMAZONAS,LUYA,PROVIDENCIA
PARTIDO MORADO,13,1.268%,0.827%,AMAZONAS,LUYA,PROVIDENCIA
PERU PATRIA SEGURA,3,0.293%,0.191%,AMAZONAS,LUYA,PROVIDENCIA
VICTORIA NACIONAL,39,3.805%,2.481%,AMAZONAS,LUYA,PROVIDENCIA
ACCION POPULAR,108,10.537%,6.870%,AMAZONAS,LUYA,PROVIDENCIA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,30,2.927%,1.908%,AMAZONAS,LUYA,PROVIDENCIA
PODEMOS PERU,13,1.268%,0.827%,AMAZONAS,LUYA,PROVIDENCIA
JUNTOS POR EL PERU,141,13.756%,8.969%,AMAZONAS,LUYA,PROVIDENCIA
PARTIDO POPULAR CRISTIANO - PPC,2,0.195%,0.127%,AMAZONAS,LUYA,PROVIDENCIA
FUERZA POPULAR,165,16.098%,10.496%,AMAZONAS,LUYA,PROVIDENCIA
UNION POR EL PERU,7,0.683%,0.445%,AMAZONAS,LUYA,PROVIDENCIA
RENOVACION POPULAR,27,2.634%,1.718%,AMAZONAS,LUYA,PROVIDENCIA
RENACIMIENTO UNIDO NACIONAL,9,0.878%,0.573%,AMAZONAS,LUYA,PROVIDENCIA
PARTIDO DEMOCRATICO SOMOS PERU,33,3.220%,2.099%,AMAZONAS,LUYA,PROVIDENCIA
PARTIDO POLITICO NACIONAL PERU LIBRE,278,27.122%,17.684%,AMAZONAS,LUYA,PROVIDENCIA
DEMOCRACIA DIRECTA,2,0.195%,0.127%,AMAZONAS,LUYA,PROVIDENCIA
ALIANZA PARA EL PROGRESO,110,10.732%,6.997%,AMAZONAS,LUYA,PROVIDENCIA
PARTIDO NACIONALISTA PERUANO,34,3.317%,2.163%,AMAZONAS,LUYA,SAN CRISTOBAL
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",11,1.073%,0.700%,AMAZONAS,LUYA,SAN CRISTOBAL
PARTIDO MORADO,13,1.268%,0.827%,AMAZONAS,LUYA,SAN CRISTOBAL
PERU PATRIA SEGURA,3,0.293%,0.191%,AMAZONAS,LUYA,SAN CRISTOBAL
VICTORIA NACIONAL,39,3.805%,2.481%,AMAZONAS,LUYA,SAN CRISTOBAL
ACCION POPULAR,108,10.537%,6.870%,AMAZONAS,LUYA,SAN CRISTOBAL
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,30,2.927%,1.908%,AMAZONAS,LUYA,SAN CRISTOBAL
PODEMOS PERU,13,1.268%,0.827%,AMAZONAS,LUYA,SAN CRISTOBAL
JUNTOS POR EL PERU,141,13.756%,8.969%,AMAZONAS,LUYA,SAN CRISTOBAL
PARTIDO POPULAR CRISTIANO - PPC,2,0.195%,0.127%,AMAZONAS,LUYA,SAN CRISTOBAL
FUERZA POPULAR,165,16.098%,10.496%,AMAZONAS,LUYA,SAN CRISTOBAL
UNION POR EL PERU,7,0.683%,0.445%,AMAZONAS,LUYA,SAN CRISTOBAL
RENOVACION POPULAR,27,2.634%,1.718%,AMAZONAS,LUYA,SAN CRISTOBAL
RENACIMIENTO UNIDO NACIONAL,9,0.878%,0.573%,AMAZONAS,LUYA,SAN CRISTOBAL
PARTIDO DEMOCRATICO SOMOS PERU,33,3.220%,2.099%,AMAZONAS,LUYA,SAN CRISTOBAL
PARTIDO POLITICO NACIONAL PERU LIBRE,278,27.122%,17.684%,AMAZONAS,LUYA,SAN CRISTOBAL
DEMOCRACIA DIRECTA,2,0.195%,0.127%,AMAZONAS,LUYA,SAN CRISTOBAL
ALIANZA PARA EL PROGRESO,110,10.732%,6.997%,AMAZONAS,LUYA,SAN CRISTOBAL
PARTIDO NACIONALISTA PERUANO,3,1.103%,0.773%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",5,1.838%,1.289%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
PARTIDO MORADO,5,1.838%,1.289%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
PERU PATRIA SEGURA,2,0.735%,0.515%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
VICTORIA NACIONAL,9,3.309%,2.320%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
ACCION POPULAR,75,27.574%,19.330%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,8,2.941%,2.062%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
PODEMOS PERU,3,1.103%,0.773%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
JUNTOS POR EL PERU,45,16.544%,11.598%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
PARTIDO POPULAR CRISTIANO - PPC,1,0.368%,0.258%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
FUERZA POPULAR,18,6.618%,4.639%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
UNION POR EL PERU,3,1.103%,0.773%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
RENOVACION POPULAR,13,4.779%,3.351%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
RENACIMIENTO UNIDO NACIONAL,6,2.206%,1.546%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
PARTIDO DEMOCRATICO SOMOS PERU,1,0.368%,0.258%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
PARTIDO POLITICO NACIONAL PERU LIBRE,38,13.971%,9.794%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
DEMOCRACIA DIRECTA,2,0.735%,0.515%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
ALIANZA PARA EL PROGRESO,35,12.868%,9.021%,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO
