ORGANIZACIONES POLÍTICAS,TOTAL,%VÁLIDOS,%EMITIDOS,DEPARTAMENTO,PROVINCIA,DISTRITO
ALIANZA PARA EL PROGRESO,359,4.799%,3.285%,AMAZONAS,BAGUA,IMAZA
PARTIDO NACIONALISTA PERUANO,509,15.961%,11.053%,AMAZONAS,BAGUA,LA PECA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",17,0.533%,0.369%,AMAZONAS,BAGUA,LA PECA
PARTIDO MORADO,23,0.721%,0.499%,AMAZONAS,BAGUA,LA PECA
PERU PATRIA SEGURA,7,0.220%,0.152%,AMAZONAS,BAGUA,LA PECA
VICTORIA NACIONAL,174,5.456%,3.779%,AMAZONAS,BAGUA,LA PECA
ACCION POPULAR,319,10.003%,6.927%,AMAZONAS,BAGUA,LA PECA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,66,2.070%,1.433%,AMAZONAS,BAGUA,LA PECA
PODEMOS PERU,65,2.038%,1.412%,AMAZONAS,BAGUA,LA PECA
JUNTOS POR EL PERU,150,4.704%,3.257%,AMAZONAS,BAGUA,LA PECA
PARTIDO POPULAR CRISTIANO - PPC,14,0.439%,0.304%,AMAZONAS,BAGUA,LA PECA
FUERZA POPULAR,518,16.243%,11.249%,AMAZONAS,BAGUA,LA PECA
UNION POR EL PERU,99,3.104%,2.150%,AMAZONAS,BAGUA,LA PECA
RENOVACION POPULAR,217,6.805%,4.712%,AMAZONAS,BAGUA,LA PECA
RENACIMIENTO UNIDO NACIONAL,14,0.439%,0.304%,AMAZONAS,BAGUA,LA PECA
PARTIDO DEMOCRATICO SOMOS PERU,30,0.941%,0.651%,AMAZONAS,BAGUA,LA PECA
PARTIDO POLITICO NACIONAL PERU LIBRE,700,21.950%,15.201%,AMAZONAS,BAGUA,LA PECA
DEMOCRACIA DIRECTA,7,0.220%,0.152%,AMAZONAS,BAGUA,LA PECA
ALIANZA PARA EL PROGRESO,260,8.153%,5.646%,AMAZONAS,BAGUA,LA PECA
PARTIDO NACIONALISTA PERUANO,8,3.704%,2.730%,AMAZONAS,BONGARA,CHISQUILLA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",6,2.778%,2.048%,AMAZONAS,BONGARA,CHISQUILLA
PARTIDO MORADO,1,0.463%,0.341%,AMAZONAS,BONGARA,CHISQUILLA
PERU PATRIA SEGURA,1,0.463%,0.341%,AMAZONAS,BONGARA,CHISQUILLA
VICTORIA NACIONAL,5,2.315%,1.706%,AMAZONAS,BONGARA,CHISQUILLA
ACCION POPULAR,32,14.815%,10.922%,AMAZONAS,BONGARA,CHISQUILLA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,10,4.630%,3.413%,AMAZONAS,BONGARA,CHISQUILLA
PODEMOS PERU,3,1.389%,1.024%,AMAZONAS,BONGARA,CHISQUILLA
JUNTOS POR EL PERU,20,9.259%,6.826%,AMAZONAS,BONGARA,CHISQUILLA
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,BONGARA,CHISQUILLA
FUERZA POPULAR,39,18.056%,13.311%,AMAZONAS,BONGARA,CHISQUILLA
UNION POR EL PERU,1,0.463%,0.341%,AMAZONAS,BONGARA,CHISQUILLA
RENOVACION POPULAR,16,7.407%,5.461%,AMAZONAS,BONGARA,CHISQUILLA
RENACIMIENTO UNIDO NACIONAL,0,0.000%,0.000%,AMAZONAS,BONGARA,CHISQUILLA
PARTIDO DEMOCRATICO SOMOS PERU,10,4.630%,3.413%,AMAZONAS,BONGARA,CHISQUILLA
PARTIDO POLITICO NACIONAL PERU LIBRE,44,20.370%,15.017%,AMAZONAS,BONGARA,CHISQUILLA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,BONGARA,CHISQUILLA
ALIANZA PARA EL PROGRESO,20,9.259%,6.826%,AMAZONAS,BONGARA,CHISQUILLA
PARTIDO NACIONALISTA PERUANO,4,2.312%,1.695%,AMAZONAS,BONGARA,CHURUJA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",1,0.578%,0.424%,AMAZONAS,BONGARA,CHURUJA
PARTIDO MORADO,4,2.312%,1.695%,AMAZONAS,BONGARA,CHURUJA
PERU PATRIA SEGURA,1,0.578%,0.424%,AMAZONAS,BONGARA,CHURUJA
VICTORIA NACIONAL,2,1.156%,0.847%,AMAZONAS,BONGARA,CHURUJA
ACCION POPULAR,30,17.341%,12.712%,AMAZONAS,BONGARA,CHURUJA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,10,5.780%,4.237%,AMAZONAS,BONGARA,CHURUJA
PODEMOS PERU,7,4.046%,2.966%,AMAZONAS,BONGARA,CHURUJA
JUNTOS POR EL PERU,13,7.514%,5.508%,AMAZONAS,BONGARA,CHURUJA
PARTIDO POPULAR CRISTIANO - PPC,1,0.578%,0.424%,AMAZONAS,BONGARA,CHURUJA
FUERZA POPULAR,36,20.809%,15.254%,AMAZONAS,BONGARA,CHURUJA
UNION POR EL PERU,2,1.156%,0.847%,AMAZONAS,BONGARA,CHURUJA
RENOVACION POPULAR,14,8.092%,5.932%,AMAZONAS,BONGARA,CHURUJA
RENACIMIENTO UNIDO NACIONAL,0,0.000%,0.000%,AMAZONAS,BONGARA,CHURUJA
PARTIDO DEMOCRATICO SOMOS PERU,0,0.000%,0.000%,AMAZONAS,BONGARA,CHURUJA
PARTIDO POLITICO NACIONAL PERU LIBRE,35,20.231%,14.831%,AMAZONAS,BONGARA,CHURUJA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,BONGARA,CHURUJA
ALIANZA PARA EL PROGRESO,13,7.514%,5.508%,AMAZONAS,BONGARA,CHURUJA
PARTIDO NACIONALISTA PERUANO,12,3.419%,2.410%,AMAZONAS,BONGARA,COROSHA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",1,0.285%,0.201%,AMAZONAS,BONGARA,COROSHA
PARTIDO MORADO,3,0.855%,0.602%,AMAZONAS,BONGARA,COROSHA
PERU PATRIA SEGURA,1,0.285%,0.201%,AMAZONAS,BONGARA,COROSHA
VICTORIA NACIONAL,8,2.279%,1.606%,AMAZONAS,BONGARA,COROSHA
ACCION POPULAR,24,6.838%,4.819%,AMAZONAS,BONGARA,COROSHA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,5,1.425%,1.004%,AMAZONAS,BONGARA,COROSHA
PODEMOS PERU,3,0.855%,0.602%,AMAZONAS,BONGARA,COROSHA
JUNTOS POR EL PERU,27,7.692%,5.422%,AMAZONAS,BONGARA,COROSHA
PARTIDO POPULAR CRISTIANO - PPC,1,0.285%,0.201%,AMAZONAS,BONGARA,COROSHA
