nlat_ie,nlong_ie
-5.05315,-78.33814
-4.8523,-78.3233
-5.2023,-78.3228
-4.9805,-78.3323
-5.04192,-78.42798000000001
-5.2379,-78.48699999999999
-5.09254,-78.35745
-5.1386,-78.3228
-5.1463,-78.23699999999999
-5.07614,-78.30006
-5.04712,-78.26411
-5.2382,-78.36453
-4.89434,-78.20431000000001
-4.91278,-78.06776000000001
-4.89916,-78.03666
-4.84614,-78.02257
-4.89958,-78.10833
-4.93394,-78.09716
-4.92286,-78.50019
-4.8051,-78.197
-4.93992,-78.25261
-5.23275,-78.33189
-5.02879,-78.33842
-5.15638,-78.35148
-4.8262,-78.19110000000001
-4.93925,-78.19754
-4.7433,-78.50790000000001
-4.86808,-78.5224
-5.20987,-78.26582000000001
-4.8529,-78.5903
-5.2629,-78.4359
-5.22488,-78.3464
-4.997,-78.2392
-4.91644,-78.10697
-4.87975,-78.09027
-5.15859,-78.19839
-4.87101,-78.00111
-4.8703,-78.1918
-4.93612,-78.20202
-4.7212,-78.56570000000001
-5.1991,-78.28748
-5.38896,-78.45372
-4.77012,-78.52118
-4.92691,-78.14779
-5.0185,-78.33410000000001
-5.10263,-78.35948
-5.18779,-78.29119
-5.20478,-78.13557
-5.16793,-78.36324999999999
-4.9148,-78.32559999999999
-5.3086,-78.29300000000001
-5.2635,-78.44031
-4.89209,-78.02548
-5.1314,-78.28454000000001
-4.86883,-78.17321
-4.9497,-78.34690000000001
-4.9416,-78.43729999999999
-4.89381,-78.51553
-4.93101,-78.12054999999999
-4.78469,-78.3683
-5.23296,-78.03028999999999
-5.24385,-78.25006999999999
-5.02406,-78.44150999999999
-5.19196,-78.27876000000001
-5.26441,-78.43664
-4.96527,-78.21883
-4.81266,-78.30347999999999
-4.77374,-78.31944
-5.1526,-78.24032
-5.02847,-78.3729
-4.88149,-78.11457
-4.85698,-78.17128
-4.79935,-78.28655000000001
-5.06051,-78.43219999999999
-4.89415,-78.50423000000001
-5.2204,-78.12173
-5.07306,-78.35453
-5.27135,-78.37624
-5.1717,-78.2852
-5.1799,-78.38209999999999
-5.1532,-78.2826
-4.92925,-78.03018
-4.8855,-78.20489999999999
-5.0611,-78.33
