id_eess,codigo_renaes,categoria,nombre,diresa,red,direccion,longitud,latitud,id_ubigeo,CCDD,NOMBDEP,CCPP,NOMBPROV,CCDI,NOMBDIST,CAPITAL,UBIGEO,DESCRIPCIO,Centroid_Latitude,Centroid_Longitude,eu_dist
10759,4267,I-4,SAN IGNACIO,CAJAMARCA,SAN IGNACIO,AVENIDA AV. ABELARDO QUIÑONES S/N NÚMERO S/N DISTRITO SAN IGNACIO PROVINCIA SAN IGNACIO DEPARTAMENTO CAJAMARCA,-79.003002,-5.14467,648,6,CAJAMARCA,9,SAN IGNACIO,1,SAN IGNACIO,SAN IGNACIO,60901,SAN IGNACIO,-5.140405077923568,-79.00789460996974,0.006490546404892929
9442,4308,I-1,DIAMANTE,CAJAMARCA,SAN IGNACIO,OTROS COMUNIDAD EL DIAMANTE DISTRITO SAN JOSE DE LOURDES PROVINCIA SAN IGNACIO DEPARTAMENTO CAJAMARCA,-78.90137,-4.92764,653,6,CAJAMARCA,9,SAN IGNACIO,6,SAN JOSE DE LOURDES,SAN JOSE DE LOURDES,60906,SAN JOSE DE LOURDES,-4.915990503475814,-78.83184908839714,0.07049019732814203
7480,13058,I-1,SAN PEDRO,CAJAMARCA,JAEN,OTROS CASERIO SAN PEDRO CASERIO SAN PEDRO SAN JOSE DEL ALTO JAEN CAJAMARCA,-79.03845599,-5.54900682,646,6,CAJAMARCA,8,JAEN,11,SAN JOSE DEL ALTO,SAN JOSE DEL ALTO,60811,SAN JOSE DEL ALTO,-5.517367642855747,-79.05506108087833,0.035731870556170824
24348,4633,I-3,SAN JUAN,CAJAMARCA,CAJAMARCA,JIRÓN JR.EL PROGRESO N°130 JR.EL PROGRESO N°130 SAN JUAN CAJAMARCA CAJAMARCA,-78.49506255,-7.29234457,574,6,CAJAMARCA,1,CAJAMARCA,12,SAN JUAN,SAN JUAN,60112,SAN JUAN,-7.273909973011706,-78.48197922947648,0.02260547814230011
26339,7103,I-1,SANTA ROSA DE SAN JUAN,CAJAMARCA,SOCOTA,OTROS COMUNIDAD DE SANTA ROSA COMUNIDAD DE SANTA ROSA SAN JUAN DE CUTERVO CUTERVO CAJAMARCA,-78.60362,-6.17102,626,6,CAJAMARCA,6,CUTERVO,9,SAN JUAN DE CUTERVO,SAN JUAN DE CUTERVO,60609,SAN JUAN DE CUTERVO,-6.174218113399612,-78.60009249414134,0.004761431181874972
6846,6819,I-1,LAS PAMPAS,CAJAMARCA,CHOTA,OTROS COMUNIDAD LAS PAMPAS DISTRITO SAN JUAN DE LICUPIS PROVINCIA CHOTA DEPARTAMENTO CAJAMARCA,-79.25237124,-6.51230518,606,6,CAJAMARCA,4,CHOTA,16,SAN JUAN DE LICUPIS,LICUPIS,60416,SAN JUAN DE LICUPIS,-6.484356711582533,-79.24551380101464,0.028777445270908447
5349,4585,I-1,SAN LUIS BAJO - GRANDE,CAJAMARCA,SAN PABLO,JIRÓN JR. LIMA S/N NÚMERO S/N DISTRITO SAN LUIS PROVINCIA SAN PABLO DEPARTAMENTO CAJAMARCA,-78.8690618,-7.1566476,677,6,CAJAMARCA,12,SAN PABLO,3,SAN LUIS,SAN LUIS GRANDE,61203,SAN LUIS,-7.159045931055743,-78.8730841197766,0.004683059709019586
16451,6870,I-1,SANTA ROSA DEL TINGO,CAJAMARCA,SOCOTA,OTROS COMUNIDAD DE SANTA ROSA DEL TINGO DISTRITO SAN LUIS DE LUCMA PROVINCIA CUTERVO DEPARTAMENTO CAJAMARCA,-78.59764,-6.26656,627,6,CAJAMARCA,6,CUTERVO,10,SAN LUIS DE LUCMA,SAN LUIS DE LUCMA,60610,SAN LUIS DE LUCMA,-6.279101100284,-78.57875268121131,0.022671788799271342
3003,4574,I-1,TAYAPAMPA,CAJAMARCA,SAN MIGUEL,OTROS LOCALIDAD TAYAPAMPA DISTRITO SAN MIGUEL PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-78.89912,-7.09990667,662,6,CAJAMARCA,11,SAN MIGUEL,1,SAN MIGUEL,SAN MIGUEL DE PALLAQUES,61101,SAN MIGUEL,-7.077477931138254,-78.92235563378821,0.03229462810543883
21963,4581,I-2,SANTA ROSA DE UNANCA,CAJAMARCA,SAN PABLO,OTROS LOCALIDAD SANTA ROSA DE UNANCA DISTRITO SAN PABLO PROVINCIA SAN PABLO DEPARTAMENTO CAJAMARCA,-78.78178041,-7.08410971,675,6,CAJAMARCA,12,SAN PABLO,1,SAN PABLO,SAN PABLO,61201,SAN PABLO,-7.086013887615922,-78.78578175939919,0.0044313304331061645
