,id_eess,codigo_renaes,categoria,nombre,diresa,red,direccion,longitud,latitud,id_ubigeo,ind,CCDD,NOMBDEP,CCPP,NOMBPROV,CCDI,NOMBDIST,CAPITAL,UBIGEO,IDPROV,CODIGO,CNT_CCPP,DESCRIPCIO,Centroid_Latitude,Centroid_Longitude,distancia,travel_time_best_guess,travel_time_pessimistic,travel_time_optimistic,travel_distance_best_guess,travel_distance_pessimistic,travel_distance_optimistic,travel_time_pesimistic,travel_distance_pesimistic
389,26115,4516,I-2,OTUTO,CAJAMARCA,CAJABAMBA,OTROS CASERIO CONDEBAMBA S/N NÚMERO S/N DISTRITO CONDEBAMBA PROVINCIA CAJABAMBA DEPARTAMENTO CAJAMARCA,-78.06980719,-7.52745935,577,1,6,CAJAMARCA,2,CAJABAMBA,3,CONDEBAMBA,CAUDAY,60203,602,60203,61,CONDEBAMBA,-7.530122419973073,-78.09113520240439,2.3696963625027205,273.0,273.0,273.0,1742.0,1742.0,1742.0,,
395,15353,4519,I-2,SAN JUAN DE LLUCHUBAMBA,CAJAMARCA,CAJABAMBA,OTROS LOCALIDAD SAN JUAN DISTRITO SITACOCHA PROVINCIA CAJABAMBA DEPARTAMENTO CAJAMARCA,-77.8806691,-7.46378668,578,1,6,CAJAMARCA,2,CAJABAMBA,4,SITACOCHA,LLUCHUBAMBA,60204,602,60204,75,SITACOCHA,-7.474385184657658,-77.90631489984364,3.0632569299838353,6710.0,6710.0,6710.0,42222.0,42222.0,42222.0,,
273,26781,11250,I-1,SAN ANTONIO,CAJAMARCA,CELENDIN,OTROS CENTRO POBLADO DE SAN ANTONIO DISTRITO CELENDIN PROVINCIA CELENDIN DEPARTAMENTO CAJAMARCA,-78.13502445,-6.80404279,579,1,6,CAJAMARCA,3,CELENDIN,1,CELENDIN,CELENDIN,60301,603,60301,70,CELENDIN,-6.774938931037327,-78.11727136589845,3.783572353841187,0.0,0.0,0.0,0.0,0.0,0.0,,
326,21960,4479,I-1,CHUMUCH,CAJAMARCA,CELENDIN,OTROS COMUNIDAD CHUMUCH DISTRITO CHUMUCH PROVINCIA CELENDIN DEPARTAMENTO CAJAMARCA,-78.19837123,-6.60346578,580,1,6,CAJAMARCA,3,CELENDIN,2,CHUMUCH,CHUMUCH,60302,603,60302,23,CHUMUCH,-6.570579571483123,-78.18705795503254,3.8644175079765053,,,,,,,,
309,18468,6757,I-1,CANDEN,CAJAMARCA,CELENDIN,OTROS LOCALIDAD CANDEN DISTRITO CORTEGANA PROVINCIA CELENDIN DEPARTAMENTO CAJAMARCA,-78.30410337,-6.45880937,581,1,6,CAJAMARCA,3,CELENDIN,3,CORTEGANA,CHIMUCH (CORTEGANA),60303,603,60303,61,CORTEGANA,-6.487693638144822,-78.28551672740241,3.81217546367579,14933.0,,14933.0,108132.0,,108132.0,14933.0,108132.0
296,25093,4471,I-1,SANTA ROSA DE HUASMIN,CAJAMARCA,CELENDIN,OTROS CASERIO SANTA ROSA S/N S/N CASERIO SANTA ROSA S/N HUASMIN CELENDIN CAJAMARCA,-78.31676744,-6.84836433,582,1,6,CAJAMARCA,3,CELENDIN,4,HUASMIN,HUASMIN,60304,603,60304,83,HUASMIN,-6.828301323385775,-78.32562772354204,2.4359452867429736,3822.0,3822.0,3822.0,27575.0,27575.0,27575.0,,
342,5395,4487,I-1,JORGE CHAVEZ,CAJAMARCA,CELENDIN,JIRÓN JR. EL COMERCIO S/N NÚMERO S/N DISTRITO JORGE CHAVEZ PROVINCIA CELENDIN DEPARTAMENTO CAJAMARCA,-78.09407559,-6.94080369,583,1,6,CAJAMARCA,3,CELENDIN,5,JORGE CHAVEZ,LUCMAPAMPA,60305,603,60305,17,JORGE CHAVEZ,-6.93951656771669,-78.06949244345488,2.717264153115103,1969.0,1969.0,1969.0,13992.0,13992.0,13992.0,,
341,21961,4488,I-2,JOSE GALVEZ,CAJAMARCA,CELENDIN,JIRÓN JR. EL RECUERDO N° 105 DISTRITO JOSE GALVEZ PROVINCIA CELENDIN DEPARTAMENTO CAJAMARCA,-78.13082021,-6.9295306,584,1,6,CAJAMARCA,3,CELENDIN,6,JOSE GALVEZ,HUACAPAMPA,60306,603,60306,24,JOSE GALVEZ,-6.919895067629336,-78.15877251548687,3.266212509584597,109.0,109.0,109.0,496.0,496.0,496.0,,
320,2481,4478,I-3,MIGUEL IGLESIAS,CAJAMARCA,CELENDIN,JIRÓN JR. SAN ISIDRO S/N NÚMERO S/N DISTRITO MIGUEL IGLESIAS PROVINCIA CELENDIN DEPARTAMENTO CAJAMARCA,-78.23179707,-6.64978414,585,1,6,CAJAMARCA,3,CELENDIN,7,MIGUEL IGLESIAS,CHALAN,60307,603,60307,25,MIGUEL IGLESIAS,-6.651037215226543,-78.26533736172955,3.7070348203143224,6906.0,6906.0,6906.0,48827.0,48827.0,48827.0,,
339,1068,9049,I-1,LA QUINUA,CAJAMARCA,CELENDIN,OTROS COMUNIDAD LA QUINUA DISTRITO OXAMARCA PROVINCIA CELENDIN DEPARTAMENTO CAJAMARCA,-78.05464005,-7.07242673,586,1,6,CAJAMARCA,3,CELENDIN,8,OXAMARCA,OXAMARCA,60308,603,60308,62,OXAMARCA,-7.059288980121174,-78.06133279004958,1.6369292838778393,3163.0,3163.0,3163.0,20951.0,20951.0,20951.0,,
290,17649,4594,I-1,LA CHORRERA,CAJAMARCA,CELENDIN,OTROS LOCALIDAD LA CHORRERA LOCALIDAD LA CHORRERA SOROCHUCO CELENDIN CAJAMARCA,-78.31506737,-6.95005723,587,1,6,CAJAMARCA,3,CELENDIN,9,SOROCHUCO,SOROCHUCO,60309,603,60309,80,SOROCHUCO,-6.934214997604489,-78.29718227998802,2.6458312302435574,776.0,776.0,776.0,3227.0,3227.0,3227.0,,
332,25289,4485,I-1,CALCONGA,CAJAMARCA,CELENDIN,OTROS LOCALIDAD CALCONGA DISTRITO SUCRE PROVINCIA CELENDIN DEPARTAMENTO CAJAMARCA,-78.15580885,-7.00941955,588,1,6,CAJAMARCA,3,CELENDIN,10,SUCRE,SUCRE,60310,603,60310,38,SUCRE,-7.018749889169237,-78.1713049795272,2.000286760322808,3759.0,3759.0,3759.0,29221.0,29221.0,29221.0,,
287,22302,4468,I-1,UTCO LIMON,CAJAMARCA,CELENDIN,OTROS CASERIO UTCO S/N NÚMERO S/N DISTRITO UTCO PROVINCIA CELENDIN DEPARTAMENTO CAJAMARCA,-78.09005808,-6.87100658,589,1,6,CAJAMARCA,3,CELENDIN,11,UTCO,UTCO,60311,603,60311,31,UTCO,-6.881324985969411,-78.05760981421811,3.7613933685080423,1457.0,1457.0,1457.0,12871.0,12871.0,12871.0,,
329,8144,4481,I-2,LA LIBERTAD DE PALLAN,CAJAMARCA,CELENDIN,JIRÓN JR. MIGUEL IGLESIAS CUADRA 5 JR. MIGUEL IGLESIAS CUADRA 5 LA LIBERTAD DE PALLAN CELENDIN CAJAMARCA,-78.28244339,-6.72624062,590,1,6,CAJAMARCA,3,CELENDIN,12,LA LIBERTAD DE PALLAN,LA LIBERTAD DE PALLAN,60312,603,60312,35,LA LIBERTAD DE PALLAN,-6.708803299227402,-78.28608939873769,1.980305282645073,1002.0,1002.0,1002.0,6149.0,6149.0,6149.0,,
768,14958,26145,I-3,POLICLINICO DE ESPECIALIDADES MEDICAS SAN FERNANDO,CAJAMARCA,NO PERTENECE A NINGUNA RED,PASAJE JUAN XXIII 244   246 FRENTE A CAPILLA SANTA ROSA CHOTA CHOTA CAJAMARCA,-78.64573428,-6.56052723,591,1,6,CAJAMARCA,4,CHOTA,1,CHOTA,CHOTA,60401,604,60401,107,CHOTA,-6.559978310714595,-78.64275186422964,0.3350643911295257,341.0,341.0,341.0,1767.0,1767.0,1767.0,,
903,20300,4750,I-2,ANGUIA,CAJAMARCA,CHOTA,OTROS DISTRITO DE ANGUIA DISTRITO DE ANGUIA ANGUIA CHOTA CAJAMARCA,-78.60617513,-6.34102702,592,1,6,CAJAMARCA,4,CHOTA,2,ANGUIA,ANGUIA,60402,604,60402,17,ANGUIA,-6.337966578285939,-78.57580091635643,3.374011132378278,62.0,62.0,62.0,237.0,237.0,237.0,,
882,9885,4737,I-1,LA UNION,CAJAMARCA,CHOTA,OTROS COMUNIDAD LA UNIÓN DISTRITO CHADIN PROVINCIA CHOTA DEPARTAMENTO CAJAMARCA,-78.40786,-6.45139,593,1,6,CAJAMARCA,4,CHOTA,3,CHADIN,CHADIN,60403,604,60403,23,CHADIN,-6.439864212778357,-78.41279275671727,1.3926880123115521,930.0,930.0,930.0,5402.0,5402.0,5402.0,,
911,21965,4758,I-2,TUGUZA,CAJAMARCA,CHOTA,OTROS COMUNIDAD TUGUSA COMUNIDAD TUGUSA CHIGUIRIP CHOTA CAJAMARCA,-78.70047135,-6.43306323,594,1,6,CAJAMARCA,4,CHOTA,4,CHIGUIRIP,CHIGUIRIP,60404,604,60404,18,CHIGUIRIP,-6.42507988722172,-78.70803618399547,1.219311906813725,692.0,692.0,692.0,3918.0,3918.0,3918.0,,
806,15624,4702,I-1,SAN JOSE DE CHIMBAN,CAJAMARCA,CHOTA,OTROS COMUNIDAD SAN JOSE DE CHIMBAN COMUNIDAD SAN JOSE DE CHIMBAN CHIMBAN CHOTA CAJAMARCA,-78.48150874,-6.29336733,595,1,6,CAJAMARCA,4,CHOTA,5,CHIMBAN,CHIMBAN,60405,604,60405,28,CHIMBAN,-6.28458920942883,-78.44814198981383,3.814870324798372,3022.0,3022.0,3022.0,16279.0,16279.0,16279.0,,
884,9368,4740,I-1,MANGALPA,CAJAMARCA,CHOTA,OTROS COMUNIDAD MANGALPA DISTRITO CHOROPAMPA PROVINCIA CHOTA DEPARTAMENTO CAJAMARCA,-78.35963,-6.37859,596,1,6,CAJAMARCA,4,CHOTA,6,CHOROPAMPA,CHOROPAMPA,60406,604,60406,22,CHOROPAMPA,-6.370062989700249,-78.36904304935265,1.4074977600260383,0.0,0.0,0.0,0.0,0.0,0.0,,
799,22918,4698,I-1,SEGUES,CAJAMARCA,CHOTA,OTROS COMUNIDAD SEGUES COMUNIDAD SEGUES COCHABAMBA CHOTA CAJAMARCA,-78.82662,-6.47196,597,1,6,CAJAMARCA,4,CHOTA,7,COCHABAMBA,COCHABAMBA,60407,604,60407,35,COCHABAMBA,-6.483027838660707,-78.85225970740323,3.088588222021593,1309.0,1309.0,1309.0,10609.0,10609.0,10609.0,,
915,14323,4760,I-2,CHETILLA,CAJAMARCA,CHOTA,OTROS COMUNIDAD CHETILLA DISTRITO CONCHAN PROVINCIA CHOTA DEPARTAMENTO CAJAMARCA,-78.59686376,-6.47654758,598,1,6,CAJAMARCA,4,CHOTA,8,CONCHAN,CONCHAN,60408,604,60408,40,CONCHAN,-6.470609104117881,-78.60245166146207,0.9039896437765239,2501.0,2501.0,2501.0,17874.0,17874.0,17874.0,,
809,7779,4704,I-3,HUAMBOS,CAJAMARCA,CHOTA,OTROS DISTRITO HUAMBOS DISTRITO HUAMBOS HUAMBOS CHOTA CAJAMARCA,-78.96331205,-6.45221694,599,1,6,CAJAMARCA,4,CHOTA,9,HUAMBOS,HUAMBOS,60409,604,60409,57,HUAMBOS,-6.443692593489247,-78.97040145793493,1.2296486869378376,585.0,585.0,585.0,3413.0,3413.0,3413.0,,
780,10767,4685,I-1,LA SINRRA,CAJAMARCA,CHOTA,OTROS COMUNIDAD LA SINRRA DISTRITO LAJAS PROVINCIA CHOTA DEPARTAMENTO CAJAMARCA,-78.73645,-6.57357,600,1,6,CAJAMARCA,4,CHOTA,10,LAJAS,LAJAS,60410,604,60410,41,LAJAS,-6.574491015719826,-78.72756806509733,0.9864627242374191,636.0,636.0,636.0,2746.0,2746.0,2746.0,,
923,13902,4766,I-1,MAICHIL,CAJAMARCA,CHOTA,OTROS COMUNIDAD MAICHIL DISTRITO LLAMA PROVINCIA CHOTA DEPARTAMENTO CAJAMARCA,-79.18481411,-6.51372806,601,1,6,CAJAMARCA,4,CHOTA,11,LLAMA,LLAMA,60411,604,60411,86,LLAMA,-6.539008709903909,-79.17288948460461,3.10445190419818,2116.0,2116.0,2116.0,24136.0,24136.0,24136.0,,
929,9203,4771,I-2,MIRACOSTA,CAJAMARCA,CHOTA,OTROS DISTRITO MIRACOSTA DISTRITO MIRACOSTA PROVINCIA CHOTA DEPARTAMENTO CAJAMARCA,-79.28471454,-6.40375901,602,1,6,CAJAMARCA,4,CHOTA,12,MIRACOSTA,MIRACOSTA,60412,604,60412,43,MIRACOSTA,-6.357816689554456,-79.30263128468026,5.478809468649287,1128.0,1128.0,1128.0,7753.0,7753.0,7753.0,,
313,25099,4732,I-1,UÑIGAN,CAJAMARCA,CHOTA,OTROS COMUNIDAD UÑIGAN DISTRITO PACCHA PROVINCIA CHOTA DEPARTAMENTO CAJAMARCA,-78.38988366,-6.5522287,603,1,6,CAJAMARCA,4,CHOTA,13,PACCHA,PACCHA,60413,604,60413,21,PACCHA,-6.533926043191311,-78.39807832082403,2.227419947483095,2716.0,2716.0,2716.0,17099.0,17099.0,17099.0,,
792,9251,4692,I-2,PION,CAJAMARCA,CHOTA,OTROS COMUNIDAD PION COMUNIDAD PION PION CHOTA CAJAMARCA,-78.481833,-6.178873,604,1,6,CAJAMARCA,4,CHOTA,14,PION,PION,60414,604,60414,14,PION,-6.18419525009336,-78.47818241083328,0.7163113504535813,346.0,346.0,346.0,2229.0,2229.0,2229.0,,
827,26864,11327,I-1,PARAGUAY,CAJAMARCA,CHOTA,OTROS CENTRO POBLADO PARAGUAY CENTRO POBLADO PARAGUAY QUEROCOTO CHOTA CAJAMARCA,-79.07915777,-6.36131899,605,1,6,CAJAMARCA,4,CHOTA,15,QUEROCOTO,QUEROCOTO,60415,604,60415,53,QUEROCOTO,-6.352218191989084,-79.09294326718505,1.8289277506862283,2541.0,2541.0,2541.0,16108.0,16108.0,16108.0,,
943,6846,6819,I-1,LAS PAMPAS,CAJAMARCA,CHOTA,OTROS COMUNIDAD LAS PAMPAS DISTRITO SAN JUAN DE LICUPIS PROVINCIA CHOTA DEPARTAMENTO CAJAMARCA,-79.25237124,-6.51230518,606,1,6,CAJAMARCA,4,CHOTA,16,SAN JUAN DE LICUPIS,LICUPIS,60416,604,60416,31,SAN JUAN DE LICUPIS,-6.484356711582533,-79.24551380101464,3.198742019673068,1170.0,1170.0,1170.0,7090.0,7090.0,7090.0,,
895,9252,4749,I-1,NUNGO,CAJAMARCA,CHOTA,OTROS COMUNIDAD NUNGO COMUNIDAD NUNGO TACABAMBA CHOTA CAJAMARCA,-78.54632,-6.39887,607,1,6,CAJAMARCA,4,CHOTA,17,TACABAMBA,TACABAMBA,60417,604,60417,71,TACABAMBA,-6.398356573617845,-78.5557038806839,1.038510349227704,2664.0,2664.0,2664.0,15929.0,15929.0,15929.0,,
944,21966,4781,I-3,TOCMOCHE,CAJAMARCA,CHOTA,OTROS DISTRITO TOCMOCHE DISTRITO TOCMOCHE TOCMOCHE CHOTA CAJAMARCA,-79.36030984,-6.41197944,608,1,6,CAJAMARCA,4,CHOTA,18,TOCMOCHE,TOCMOCHE,60418,604,60418,35,TOCMOCHE,-6.456833769681386,-79.37598617970025,5.279794714955419,130.0,130.0,130.0,316.0,316.0,316.0,,
838,27251,4728,I-2,MASINTRANCA,CAJAMARCA,CHOTA,OTROS COMUNIDAD MASINTRANCA DISTRITO CHALAMARCA PROVINCIA CHOTA DEPARTAMENTO CAJAMARCA,-78.50506968,-6.52640318,609,1,6,CAJAMARCA,4,CHOTA,19,CHALAMARCA,CHALAMARCA,60419,604,60419,47,CHALAMARCA,-6.517607398542453,-78.49523805940689,1.4616084139944667,550.0,550.0,550.0,3912.0,3912.0,3912.0,,
435,1451,10276,I-2,POSTA MEDICA ESSALUD CONTUMAZA,CAJAMARCA,NO PERTENECE A NINGUNA RED,JIRÓN JR. JOSE PARDO Nº 616 DISTRITO CONTUMAZA PROVINCIA CONTUMAZA DEPARTAMENTO CAJAMARCA,-78.80451335,-7.365567,610,1,6,CAJAMARCA,5,CONTUMAZA,1,CONTUMAZA,CONTUMAZA,60501,605,60501,119,CONTUMAZA,-7.334746134440747,-78.7367953933113,8.216840774294122,110.0,,110.0,390.0,,390.0,110.0,390.0
408,21588,4538,I-4,DE APOYO CHILETE,CAJAMARCA,CONTUMAZA,JIRÓN JR. VICTOR RAUL HAYA DE LA TORRE 323 DISTRITO CHILETE PROVINCIA CONTUMAZA DEPARTAMENTO CAJAMARCA,-78.840105,-7.22042167,611,1,6,CAJAMARCA,5,CONTUMAZA,2,CHILETE,CHILETE,60502,605,60502,39,CHILETE,-7.256344097369151,-78.82166177374316,4.482649704300049,15.0,15.0,15.0,54.0,54.0,54.0,,
478,9248,4590,I-1,TRINIDAD,CAJAMARCA,CONTUMAZA,JIRÓN JR. CAJAMARCA Nº 131 DISTRITO CUPISNIQUE PROVINCIA CONTUMAZA DEPARTAMENTO CAJAMARCA,-79.0265153,-7.34802389,612,1,6,CAJAMARCA,5,CONTUMAZA,3,CUPISNIQUE,TRINIDAD,60503,605,60503,52,CUPISNIQUE,-7.373463162233786,-79.06656543590603,5.2448679035044545,507.0,507.0,507.0,4086.0,4086.0,4086.0,,
441,5348,4554,I-2,TOTORILLAS,CAJAMARCA,CONTUMAZA,OTROS CASERIO DE TOTORILLAS DISTRITO GUZMANGO PROVINCIA CONTUMAZA DEPARTAMENTO CAJAMARCA,-78.93001098,-7.3534676,613,1,6,CAJAMARCA,5,CONTUMAZA,4,GUZMANGO,GUZMANGO,60504,605,60504,50,GUZMANGO,-7.364304037451185,-78.9176888857091,1.8161623272575187,2524.0,2524.0,2524.0,16868.0,16868.0,16868.0,,
438,18118,4555,I-2,SAN BENITO,CAJAMARCA,CONTUMAZA,AVENIDA AV. ANDREZ ABELINO CACERES N° 151 DISTRITO SAN BENITO PROVINCIA CONTUMAZA DEPARTAMENTO CAJAMARCA,-78.92762956,-7.42775777,614,1,6,CAJAMARCA,5,CONTUMAZA,5,SAN BENITO,SAN BENITO,60505,605,60505,69,SAN BENITO,-7.502785547355022,-78.96231940728968,9.177615721042958,1460.0,1460.0,1460.0,13290.0,13290.0,13290.0,,
436,3297,4549,I-2,SANTA CRUZ DE TOLEDO,CAJAMARCA,CONTUMAZA,JIRÓN JR.RICARDO PALMA S/N NÚMERO S/N DISTRITO SANTA CRUZ DE TOLED PROVINCIA CONTUMAZA DEPARTAMENTO CAJAMARCA,-78.83687594,-7.3452637,615,1,6,CAJAMARCA,5,CONTUMAZA,6,SANTA CRUZ DE TOLED,SANTA CRUZ DE TOLED,60506,605,60506,82,SANTA CRUZ DE TOLED,-7.327661926670727,-78.86339781991325,3.5193897723092626,3357.0,3357.0,3357.0,27523.0,27523.0,27523.0,,
429,7594,4544,I-2,CATÁN - TANTARICA,CAJAMARCA,CONTUMAZA,JIRÓN JR. RESTAURACION S/N NÚMERO S/N DISTRITO TANTARICA PROVINCIA CONTUMAZA DEPARTAMENTO CAJAMARCA,-78.93257437,-7.2999141,616,1,6,CAJAMARCA,5,CONTUMAZA,7,TANTARICA,CATAN,60507,605,60507,36,TANTARICA,-7.275309367839426,-78.94985074914202,3.3341115475081264,0.0,0.0,0.0,0.0,0.0,0.0,,
477,27812,10274,I-2,POSTA MEDICA TEMBLADERA,CAJAMARCA,NO PERTENECE A NINGUNA RED,JIRÓN JR. CAJAMARCA Nº 211 DISTRITO YONAN PROVINCIA CONTUMAZA DEPARTAMENTO CAJAMARCA,-79.1325135,-7.2536261,617,1,6,CAJAMARCA,5,CONTUMAZA,8,YONAN,TEMBLADERA,60508,605,60508,32,YONAN,-7.277622253053686,-79.16912177287334,4.839912399090643,87.0,87.0,87.0,342.0,342.0,342.0,,
1094,7630,6850,I-1,CONDAY,CAJAMARCA,CUTERVO,OTROS LOCALIDAD CONDAY LOCALIDAD CONDAY CUTERVO CUTERVO CAJAMARCA,-78.83738,-6.38125,618,1,6,CAJAMARCA,6,CUTERVO,1,CUTERVO,CUTERVO,60601,606,60601,141,CUTERVO,-6.380199143880152,-78.83300549536361,0.4973315254755231,643.0,643.0,643.0,3528.0,3528.0,3528.0,,
