Department_univ,Province_univ,Name_univ,Adress_univ,Latitude_univ,Longitude_univ
Loreto,Maynas,Universidad Científica del Perú (*3),"Universidad Científica del Perú (*3), Maynas, Loreto",-3.7694078,-73.2820646
La Libertad,Trujillo,Universidad César Vallejo S.A.C.,"Universidad César Vallejo S.A.C., Trujillo, La Libertad",-8.1293904,-79.0433213
Ancash,Santa,Universidad Católica Los Ángeles de Chimbote (*4),"Universidad Católica Los Ángeles de Chimbote (*4), Santa, Ancash",-9.0784016,-78.5889924
Lima,Lima,Universidad Peruana de Ciencias Aplicadas S.A.C.,"Universidad Peruana de Ciencias Aplicadas S.A.C., Lima, Lima",-12.104061,-76.962902
La Libertad,Trujillo,Universidad Privada del Norte S.A.C.,"Universidad Privada del Norte S.A.C., Trujillo, La Libertad",-8.099882,-79.01906369999999
Lima,Lima,Universidad San Ignacio de Loyola S.A.,"Universidad San Ignacio de Loyola S.A., Lima, Lima",-12.0733251,-76.95194459999999
Lima,Lima,Universidad Alas Peruanas,"Universidad Alas Peruanas, Lima, Lima",-12.0814023,-77.0467478
Lima,Lima,Universidad Privada Norbert Wiener,"Universidad Privada Norbert Wiener, Lima, Lima",-12.0688186,-77.036985
Arequipa,Arequipa,Universidad Católica San Pablo,"Universidad Católica San Pablo, Arequipa, Arequipa",-16.3900752,-71.5354639
Ica,Ica,Grupo Educativo Universidad Privada de Ica S.A.C. (*5 *13),"Grupo Educativo Universidad Privada de Ica S.A.C. (*5 *13), Ica, Ica",-14.0767574,-75.73588579999999
Lima,Lima,Universidad Privada San Juan Bautista S.A.C. (*6),"Universidad Privada San Juan Bautista S.A.C. (*6), Lima, Lima",-11.9888573,-77.060934
Lima,Lima,Universidad Tecnológica del Perú,"Universidad Tecnológica del Perú, Lima, Lima",-12.0642955,-77.0369772
Junín,Huancayo,Universidad Continental S.A.C. (*7),"Universidad Continental S.A.C. (*7), Huancayo, Junín",-12.0476664,-75.1987032
Lima,Lima,Universidad Científica del Sur S.A.C.,"Universidad Científica del Sur S.A.C., Lima, Lima",-12.0165774,-76.89017129999999
Lambayeque,Chiclayo,Universidad Católica Santo Toribio de Mogrovejo,"Universidad Católica Santo Toribio de Mogrovejo, Chiclayo, Lambayeque",-6.7603743,-79.86303319999999
Cajamarca,Cajamarca,Universidad Privada Antonio Guillermo Urrelo,"Universidad Privada Antonio Guillermo Urrelo, Cajamarca, Cajamarca",-7.171680299999999,-78.501215
Lima,Lima,Universidad Católica Sedes Sapientiae,"Universidad Católica Sedes Sapientiae, Lima, Lima",-11.9953135,-77.0672307
Lambayeque,Chiclayo,Universidad Señor de Sipán,"Universidad Señor de Sipán, Chiclayo, Lambayeque",-6.7950553,-79.88521779999999
La Libertad,Trujillo,Universidad Católica de Trujillo Benedicto XVI (*8),"Universidad Católica de Trujillo Benedicto XVI (*8), Trujillo, La Libertad",-8.1602468,-79.0111745
Lima,Lima,Universidad Peruana de las Américas,"Universidad Peruana de las Américas, Lima, Lima",-12.0631513,-77.0378175
Lima,Lima,Universidad ESAN,"Universidad ESAN, Lima, Lima",,
Lima,Lima,Universidad Antonio Ruiz de Montoya,"Universidad Antonio Ruiz de Montoya, Lima, Lima",-12.0701332,-77.05902850000001
Lima,Lima,Universidad Peruana de Ciencias e Informática,"Universidad Peruana de Ciencias e Informática, Lima, Lima",-12.0721316,-77.0420936
Huancavelica,Angaraes,Universidad para el Desarrollo Andino,"Universidad para el Desarrollo Andino, Angaraes, Huancavelica",-12.9875657,-74.721313
Lima,Lima,Universidad Privada Telesup,"Universidad Privada Telesup, Lima, Lima",-12.0640089,-77.0345749
Lima,Cañete,Universidad Sergio Bernales S.A.,"Universidad Sergio Bernales S.A., Cañete, Lima",-13.0731319,-76.3678548
Ucayali,Coronel Portillo,Universidad Privada de Pucallpa S.A.C.,"Universidad Privada de Pucallpa S.A.C., Coronel Portillo, Ucayali",-8.388075299999999,-74.5313108
